link_id,country,project_id,source_id,relationship,locator,review_status,notes
zaf-link-pmu-sw004,ZAF,zaf-register-sw004,zaf-project-cpd4e-germany,project_page_component,co-funding sentence,confirmed,Page explicitly names SECO co-funding
zaf-link-pmu-eu012,ZAF,zaf-register-eu012,zaf-project-cpd4e-germany,possible_match,co-funding sentence,provisional,Page names EU co-funding from March 2025 but the register groups a broader skills programme
zaf-link-annex25-gr039,ZAF,zaf-register-gr039,zaf-jetp-leaders-2025-annex,named_in,Electricity - DPO III,confirmed,Third policy-based loan
zaf-link-annex25-gr025,ZAF,zaf-register-gr025,zaf-jetp-leaders-2025-annex,named_in,Electricity - DBSA facility,confirmed,EUR 200m reform facility
zaf-link-annex25-gr026,ZAF,zaf-register-gr026,zaf-jetp-leaders-2025-annex,named_in,Electricity - Cape Town loan,confirmed,EUR 150m grid loan
zaf-link-annex25-gr026b,ZAF,zaf-register-gr026b,zaf-jetp-leaders-2025-annex,named_in,Electricity - Cape Town grant,confirmed,EUR 0.5m accompanying measure
zaf-link-annex25-uk056,ZAF,zaf-register-uk056,zaf-jetp-leaders-2025-annex,named_in,Electricity - Etana,confirmed,USD 100m guarantee financing
zaf-link-annex25-uk065,ZAF,zaf-register-uk065,zaf-jetp-leaders-2025-annex,named_in,Electricity - Red Sands,confirmed,153 MW battery facility
zaf-link-annex25-dk001,ZAF,zaf-register-dk001,zaf-jetp-leaders-2025-annex,named_in,Electricity - Danish capacity programme,confirmed,Transmission component
zaf-link-annex25-dk002,ZAF,zaf-register-dk002,zaf-jetp-leaders-2025-annex,named_in,Electricity - Danish capacity programme,confirmed,Distribution component
zaf-link-annex25-uk059,ZAF,zaf-register-uk059,zaf-jetp-leaders-2025-annex,named_in,Electricity - Energy Council,confirmed,Wholesale-market reform support
zaf-link-annex25-gr003,ZAF,zaf-register-gr003,zaf-jetp-leaders-2025-annex,named_in,Electricity and Municipalities - GIZ,provisional,SAGEN umbrella for named activities
zaf-link-annex25-eu011,ZAF,zaf-register-eu011,zaf-jetp-leaders-2025-annex,named_in,Electricity - EU TA facility,confirmed,Planned 2026 facility
zaf-link-annex25-gr035,ZAF,zaf-register-gr035,zaf-jetp-leaders-2025-annex,named_in,Electricity - German TA,confirmed,EUR 11m SAGEN V
zaf-link-annex25-gr030,ZAF,zaf-register-gr030,zaf-jetp-leaders-2025-annex,named_in,Green hydrogen - KfW IDC,confirmed,EUR 17m memorandum
zaf-link-annex25-eu021,ZAF,zaf-register-eu021,zaf-jetp-leaders-2025-annex,named_in,Green hydrogen - EU technical support,provisional,Register amount does not fully reconcile
zaf-link-annex25-gr034,ZAF,zaf-register-gr034,zaf-jetp-leaders-2025-annex,named_in,Green hydrogen - German technical support,confirmed,EUR 6m value-chain support
zaf-link-annex25-eu020,ZAF,zaf-register-eu020,zaf-jetp-leaders-2025-annex,named_in,Green hydrogen - Hive and CI3,provisional,Fund-level row without Hive subproject
zaf-link-annex25-nl004,ZAF,zaf-register-nl004,zaf-jetp-leaders-2025-annex,named_in,Green hydrogen - Dutch fund support,provisional,Fund-level row without Hive subproject
zaf-link-annex25-gr036,ZAF,zaf-register-gr036,zaf-jetp-leaders-2025-annex,named_in,New energy vehicles - German TA,confirmed,EUR 5m zero-emission transport support
zaf-link-annex25-gr029,ZAF,zaf-register-gr029,zaf-jetp-leaders-2025-annex,named_in,Municipalities - Metro Trading Services,provisional,Only German component is distinct in register
zaf-link-annex25-uk068,ZAF,zaf-register-uk068,zaf-jetp-leaders-2025-annex,named_in,Municipalities - embedded generation,confirmed,Six-municipality preparation support
zaf-link-annex25-nl012,ZAF,zaf-register-nl012,zaf-jetp-leaders-2025-annex,named_in,Municipalities - Johannesburg waste,confirmed,EUR 27.5m project
zaf-link-annex25-uk061,ZAF,zaf-register-uk061,zaf-jetp-leaders-2025-annex,named_in,Just - agribusiness facility,provisional,Programme matches but amounts differ
zaf-link-annex25-gr007,ZAF,zaf-register-gr007,zaf-jetp-leaders-2025-annex,named_in,Just - German SMME support,provisional,JUST SA umbrella for named activities
zaf-link-annex25-uk008,ZAF,zaf-register-uk008,zaf-jetp-leaders-2025-annex,named_in,Just - Climate Finance Accelerator,provisional,Programme row includes Wetility but not Carbon Charge
zaf-link-annex25-uk072,ZAF,zaf-register-uk072,zaf-jetp-leaders-2025-annex,named_in,Just - Wetility,provisional,Fund-investment row includes Wetility
zaf-link-annex25-gr033,ZAF,zaf-register-gr033,zaf-jetp-leaders-2025-annex,named_in,Just - societal participation,confirmed,EUR 4m project
zaf-link-annex25-nl001-5,ZAF,zaf-register-nl001-5,zaf-jetp-leaders-2025-annex,named_in,Just - Grootvlei,confirmed,Training impact cluster
zaf-link-annex25-nl001-6,ZAF,zaf-register-nl001-6,zaf-jetp-leaders-2025-annex,named_in,Just - Grootvlei,confirmed,Greenhouse subsidy
zaf-link-annex25-nl001-7,ZAF,zaf-register-nl001-7,zaf-jetp-leaders-2025-annex,named_in,Just - Grootvlei,confirmed,Demonstration facility construction
zaf-link-annex25-nl001-8,ZAF,zaf-register-nl001-8,zaf-jetp-leaders-2025-annex,named_in,Just - Grootvlei,confirmed,Second construction phase
zaf-link-annex25-dk012,ZAF,zaf-register-dk012,zaf-jetp-leaders-2025-annex,named_in,Just - Transforming Youth Skills,confirmed,Teachers and ten Mpumalanga schools
zaf-link-annex25-eu012,ZAF,zaf-register-eu012,zaf-jetp-leaders-2025-annex,named_in,Skills - multidonor portfolio,confirmed,EU skills component
zaf-link-annex25-gr015,ZAF,zaf-register-gr015,zaf-jetp-leaders-2025-annex,named_in,Skills - multidonor portfolio,confirmed,German CPD4E component
zaf-link-annex25-sw004,ZAF,zaf-register-sw004,zaf-jetp-leaders-2025-annex,named_in,Skills - multidonor portfolio,confirmed,Swiss CPD4E component
zaf-link-annex25-uk074,ZAF,zaf-register-uk074,zaf-jetp-leaders-2025-annex,named_in,Skills - PowerUp and SAREM,confirmed,Named platform and masterplan support
zaf-link-annex25-eu019,ZAF,zaf-register-eu019,zaf-jetp-leaders-2025-annex,named_in,Road to Rail - Transnet,provisional,Grant component recorded but EIB loan missing
zaf-link-annex25-dk013,ZAF,zaf-register-dk013,zaf-jetp-leaders-2025-annex,named_in,Energy Efficiency - public buildings,confirmed,Johannesburg-Copenhagen collaboration
zaf-link-annex25-uk030,ZAF,zaf-register-uk030,zaf-jetp-leaders-2025-annex,named_in,Energy Efficiency - MAGC,confirmed,Programme tranche
zaf-link-annex25-uk048,ZAF,zaf-register-uk048,zaf-jetp-leaders-2025-annex,named_in,Energy Efficiency - MAGC,confirmed,Programme tranche
zaf-link-annex25-uk049,ZAF,zaf-register-uk049,zaf-jetp-leaders-2025-annex,named_in,Energy Efficiency - MAGC,confirmed,Programme tranche
zaf-link-annex25-uk063,ZAF,zaf-register-uk063,zaf-jetp-leaders-2025-annex,named_in,Energy Efficiency - MAGC,confirmed,Programme tranche
zaf-link-annex25-uk064,ZAF,zaf-register-uk064,zaf-jetp-leaders-2025-annex,named_in,Energy Efficiency - MAGC,confirmed,Programme tranche
zaf-link-annex25-uk069,ZAF,zaf-register-uk069,zaf-jetp-leaders-2025-annex,named_in,Energy Efficiency - MAGC,confirmed,Standard Bank component
zaf-link-annex25-uk070,ZAF,zaf-register-uk070,zaf-jetp-leaders-2025-annex,named_in,Energy Efficiency - MAGC,confirmed,Nedbank component
zaf-link-annex25-zandkopsdrift,ZAF,zaf-annex-zandkopsdrift,zaf-jetp-leaders-2025-annex,named_in,Green hydrogen - Zandkopsdrift,confirmed,Named strategic project outside the register
zaf-link-zandkopsdrift-eu,ZAF,zaf-annex-zandkopsdrift,zaf-zandkopsdrift-eu-2025,approval_document,whole record,confirmed,EU strategic-project record
zaf-link-zandkopsdrift-operator,ZAF,zaf-annex-zandkopsdrift,zaf-zandkopsdrift-operator,project_page,whole page,confirmed,Direct operator page
zaf-link-annex25-growth-gateway,ZAF,zaf-growth-gateway-smme-accelerator,zaf-jetp-leaders-2025-annex,named_in,Just - Growth Gateway,confirmed,Programme-level update
zaf-link-growth-gateway-report,ZAF,zaf-growth-gateway-smme-accelerator,zaf-growth-gateway-report-2026,project_report,whole report,confirmed,Official FCDO blueprint
zaf-link-growth-gateway-devtracker,ZAF,zaf-growth-gateway-smme-accelerator,zaf-growth-gateway-devtracker-300812,data_portal,whole record,confirmed,Direct FCDO programme record
zaf-link-annex25-murp,ZAF,zaf-murp,zaf-jetp-leaders-2025-annex,named_in,Municipalities - utility reform,confirmed,Programme-level update
zaf-link-murp-afdb,ZAF,zaf-murp,zaf-murp-afdb-2026,named_in,official announcement,confirmed,AfDB approval announcement
zaf-link-annex25-eepbip,ZAF,zaf-eepbip,zaf-jetp-leaders-2025-annex,named_in,Energy Efficiency - Mitigation Action Facility,confirmed,Programme-level update
zaf-link-eepbip-maf,ZAF,zaf-eepbip,zaf-eepbip-maf,project_page,whole profile,confirmed,Direct facility profile
zaf-link-eepbip-giz,ZAF,zaf-eepbip,zaf-eepbip-giz-profile-2023,project_report,whole report,confirmed,Direct implementer profile
zaf-link-eepbip-portal,ZAF,zaf-eepbip,zaf-eepbip-portal,data_portal,whole portal,confirmed,Programme portal
zaf-link-annex25-uk-nev,ZAF,zaf-uk-nev-support,zaf-jetp-leaders-2025-annex,named_in,New energy vehicles - UK technical support,confirmed,Programme-level update without a disclosed amount
zaf-link-dtic-parliament-nev,ZAF,zaf-uk-nev-support,zaf-dtic-parliament-nev-2025,project_page,reply paragraph 1(d),confirmed,Ministerial reply identifies UK PACT support for the battery value-chain policy framework
zaf-link-annex25-eu-cso-grants,ZAF,zaf-eu-cso-green-economy-grants,zaf-jetp-leaders-2025-annex,named_in,Just - three civil-society grants,confirmed,Programme-cluster identity retained because the annex does not name the three individual awards
idn-link-monitor25-gecs,IDN,idn-pipe-green-corridors-sulawesi,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 1,confirmed,Green Energy Corridor Sulawesi selected for active CMEA monitoring
idn-link-monitor25-dediesel-east,IDN,idn-pipe-dediesel-east-phase1,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 2,confirmed,Eastern cluster covering 46 locations
idn-link-monitor25-dediesel-west,IDN,idn-pipe-dediesel-west-phase1,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 3,confirmed,Western cluster covering 48 locations
idn-link-monitor25-singkarak,IDN,idn-pipe-singkarak-floating-solar,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 4a,confirmed,Hijaunesia 1 Singkarak floating solar
idn-link-monitor25-saguling,IDN,idn-fin-saguling-floating-solar,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 4b,confirmed,Hijaunesia 1 Saguling floating solar
idn-link-monitor25-hijaunesia2,IDN,idn-pipe-hijaunesia-2,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 5,confirmed,Large-scale multi-region solar and wind programme
idn-link-monitor25-gde,IDN,idn-monitor-gde-pipeline-2025,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 6,confirmed,Geo Dipa Energi pipeline selected as one monitored programme
idn-link-monitor25-karangkates,IDN,idn-pipe-sutami-floating-solar,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 7,confirmed,Karangkates Reservoir project reconciled to Sutami Karangkates name in financing table
idn-link-monitor25-cirebon,IDN,idn-pipe-cirebon-1-retirement,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 8,confirmed,Selection for monitoring does not imply retirement
idn-link-monitor25-hululais,IDN,idn-pipe-hululais-1-2,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 9,confirmed,Hululais 110 MW geothermal project
idn-link-monitor25-seg,IDN,idn-pipe-solar-cell-manufacturing,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 10,confirmed,Appendix identifies SEG Solar as the manufacturer omitted in the financing table
idn-link-monitor25-rsud,IDN,idn-pipe-rsud-energy-efficiency,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 11,confirmed,Energy efficiency and rooftop solar in 27 regional hospitals
idn-link-monitor25-rscm,IDN,idn-pipe-rscm-energy-efficiency,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 12,confirmed,RSCM HVAC and boiler retrofit
idn-link-monitor25-cihaur-talaga,IDN,idn-monitor-cihaur-talaga-micro-hydro,idn-jetp-progress-report-2025,cmea_selected_monitoring,Appendix 2 row 13,confirmed,Combined monitoring row for two Cihaur and two Talaga units
idn-link-isle1-wb-news,IDN,idn-fin-isle-1,idn-world-bank-isle1-2023,approval_document,press release,confirmed,Direct World Bank financing announcement for project P174350
idn-link-isle1-wb-assessment,IDN,idn-fin-isle-1,idn-world-bank-isle1-technical-assessment-2022,project_report,technical assessment,confirmed,Direct technical assessment for project P174350
idn-link-mrt-east-west-jica,IDN,idn-fin-mrt-east-west,idn-jica-mrt-east-west-2024,approval_document,press release,confirmed,Direct JICA loan announcement for Phase 1 I
idn-link-mrt-north-south-jica,IDN,idn-fin-mrt-north-south,idn-jica-mrt-north-south-2023,approval_document,press release item 3,confirmed,Direct JICA loan announcement for Phase 2 II
idn-link-aset-adb-project,IDN,idn-fin-pbl-aset,idn-adb-aset-56368-001,project_page,project 56368-001,confirmed,Direct ADB project record; automated harvest blocked by HTTP 403
idn-link-aset-adb-news,IDN,idn-fin-pbl-aset,idn-adb-aset-news-2024,approval_document,press release,confirmed,Direct ADB approval announcement
idn-link-aicet-adb-project,IDN,idn-fin-rbl-aicet,idn-adb-aicet-56140-001,project_page,project 56140-001,confirmed,Direct ADB project record; automated harvest blocked by HTTP 403
idn-link-aicet-adb-news,IDN,idn-fin-rbl-aicet,idn-adb-aicet-news-2025,approval_document,press release,confirmed,Direct ADB approval announcement
idn-link-muara-laboh-adb,IDN,idn-fin-muara-laboh-2,idn-adb-muara-laboh-2-2025,approval_document,press release,confirmed,Direct ADB financing agreement for the same physical expansion
idn-link-saguling-gfanz,IDN,idn-fin-saguling-floating-solar,idn-gfanz-saguling-2025,approval_document,press release,confirmed,Direct GFANZ financing announcement explicitly identifying the project as JETP
idn-link-xurya-jetp,IDN,idn-fin-xurya-rooftop,idn-jetp-xurya-equity-2024,approval_document,official JETP news,confirmed,Direct JETP Secretariat equity announcement
idn-link-portal-gecs,IDN,idn-pipe-green-corridors-sulawesi,idn-portfolio-project-gecs,project_page,whole profile,confirmed,Current official profile showing approved KfW financing after the 2025 in-process snapshot
idn-link-portal-nagajaya,IDN,idn-pipe-nagajaya-micro-hydro,idn-portfolio-project-nagajaya,project_page,whole profile,confirmed,Current official profile showing approved Norfund equity and source-specific capacity
idn-link-portal-hululais,IDN,idn-pipe-hululais-1-2,idn-portfolio-project-hululais,project_page,whole profile,confirmed,Current official profile showing approved JICA financing after the 2025 in-process snapshot
idn-link-dieng3-adb,IDN,idn-pipe-dieng-3-4,idn-project-dieng3-adb,project_page,ADB project 58342-001,confirmed,Exact Unit 3 financier record; page status is Proposed and automated archive returned HTTP 403
idn-link-cirebon-marubeni,IDN,idn-pipe-cirebon-1-retirement,idn-project-cirebon-framework-marubeni,project_report,whole announcement,confirmed,Direct participant source describes a conditional framework rather than an executed retirement
idn-link-cirebon-reuters,IDN,idn-pipe-cirebon-1-retirement,idn-news-cirebon-retirement-reuters-2025,named_in,ministerial statement,confirmed,Reuters quotes the chief economic minister that the Cirebon early-retirement plan was unlikely to proceed
idn-link-seg-construction,IDN,idn-pipe-solar-cell-manufacturing,idn-project-seg-construction-2024,project_report,whole announcement,confirmed,Direct operator source for September 2024 groundbreaking
idn-link-seg-operational,IDN,idn-pipe-solar-cell-manufacturing,idn-project-seg-operational-2025,project_report,whole announcement,confirmed,Direct operator source for Phase I mass production and initial shipments
idn-link-singkarak-acwa,IDN,idn-pipe-singkarak-floating-solar,idn-project-singkarak-acwa-2022,project_page,whole announcement,confirmed,Direct developer source for the 50 MWac Singkarak project and ownership structure
idn-link-sutami-plnnp,IDN,idn-pipe-sutami-floating-solar,idn-project-sutami-construction-plnnp-2026,project_report,whole announcement,confirmed,Direct operator source for the February 2026 construction-phase milestone
idn-link-tanah-laut-profile,IDN,idn-pipe-tanah-laut-wind,idn-project-tanah-laut-plnnp,project_page,Tanah Laut WPP profile,confirmed,Direct operator profile records the project as in development
idn-link-tanah-laut-ppa,IDN,idn-pipe-tanah-laut-wind,idn-project-tanah-laut-ppa-ptplnnr,project_report,whole announcement,confirmed,Direct participant source for the May 2023 power purchase agreement
idn-link-legok-ut,IDN,idn-pipe-legok-nangka-waste,idn-project-legok-agreement-ut-2024,project_report,whole announcement,confirmed,Direct consortium participant source for the cooperation agreement and project scope
idn-link-legok-antara,IDN,idn-pipe-legok-nangka-waste,idn-news-legok-groundbreaking-antara-2026,named_in,groundbreaking report,confirmed,ANTARA reports the official groundbreaking and a 41-month construction programme
idn-link-rsud-c40,IDN,idn-pipe-rsud-energy-efficiency,idn-project-rsud-retrofit-c40,project_report,whole report,confirmed,C40 CFF preliminary benefits assessment reviewed through the public PDF index; automated archive returned HTTP 403
idn-link-eib-ptsmi,IDN,idn-pipe-eib-sustainable-infrastructure,idn-eib-ptsmi-mou-2024,project_report,whole announcement,confirmed,Direct EIB source confirms a potential framework loan subject to approval
idn-link-workplan-hijaunesia2,IDN,idn-pipe-hijaunesia-2,idn-jetp-work-plan-2024-presentation,named_in,Priority projects under procurement,confirmed,Public JETP Secretariat presentation explicitly names Hijaunesia 1 and 2
idn-link-workplan-hydro-sulawesi,IDN,idn-pipe-hydro-quota-sulawesi,idn-jetp-work-plan-2024-presentation,named_in,Priority projects under procurement,confirmed,Public JETP Secretariat presentation independently states the 400 MW Sulawesi quota
idn-link-workplan-hydro-sumatra,IDN,idn-pipe-hydro-quota-sumatra,idn-jetp-work-plan-2024-presentation,named_in,Priority projects under procurement,confirmed,Public JETP Secretariat presentation independently states the 250 MW Sumatra quota
idn-link-workplan-dediesel-east,IDN,idn-pipe-dediesel-east-phase1,idn-jetp-work-plan-2024-presentation,possible_match,Priority projects under procurement,confirmed,Programme-level presentation covers Phase 1 but does not split the eastern cluster into an exact project page
idn-link-workplan-dediesel-west,IDN,idn-pipe-dediesel-west-phase1,idn-jetp-work-plan-2024-presentation,possible_match,Priority projects under procurement,confirmed,Programme-level presentation covers Phase 1 and is reconciled to the direct ib vogt cluster page
idn-link-ibvogt-dediesel-west,IDN,idn-pipe-dediesel-west-phase1,idn-ibvogt-diesel-west-2023,project_page,whole announcement,confirmed,Direct tender-winner source resolves 48 western projects with solar and storage capacity
idn-link-geapp-dediesel-east,IDN,idn-pipe-dediesel-east-phase1,idn-geapp-diesel-replacement-program,possible_match,programme overview,provisional,Programme-level partner source covers the 94-location first phase but not the exact eastern cluster
idn-link-geapp-dediesel-west,IDN,idn-pipe-dediesel-west-phase1,idn-geapp-diesel-replacement-program,possible_match,programme overview,confirmed,Programme-level partner source is reconciled to the direct western-cluster announcement
idn-link-ieefa-dediesel-east,IDN,idn-pipe-dediesel-east-phase1,idn-ieefa-dediesel-update-2026,possible_match,current programme assessment,provisional,Current analysis applies to the first phase as a whole and reports no signed PPAs
idn-link-ieefa-dediesel-west,IDN,idn-pipe-dediesel-west-phase1,idn-ieefa-dediesel-update-2026,possible_match,current programme assessment,confirmed,Current analysis applies to the first phase as a whole and reports no signed PPAs
vnm-link-moit-bac-ai,VNM,vnm-project-bac-ai-pumped-hydro,vnm-moit-project-bac-ai,project_page,project profile,confirmed,MOIT profile uniquely identifies the 1200 MW Bac Ai project
vnm-link-evn-cdp-bac-ai,VNM,vnm-project-bac-ai-pumped-hydro,vnm-evn-cdp-bac-ai-2025,named_in,term sheet and letter of intent,confirmed,Direct operator source links the project to the six-DFI term sheet and CDP letter of intent
vnm-link-eib-bac-ai,VNM,vnm-project-bac-ai-pumped-hydro,vnm-eib-bac-ai-package-2025,named_in,Team Europe package announcement,confirmed,Direct funder source links the project to the distinct EUR 430 million package
vnm-link-moit-transmission,VNM,vnm-project-binh-duong-dong-nai-transmission,vnm-moit-project-binh-duong-dong-nai,project_page,project profile,confirmed,MOIT profile uniquely identifies the substations and transmission reinforcement project
vnm-link-evn-afd-transmission,VNM,vnm-project-binh-duong-dong-nai-transmission,vnm-evn-afd-transmission-2025,named_in,financing agreement announcement,confirmed,Direct operator source identifies the EUR 67 million AFD agreement and three sub-projects
vnm-link-moit-tri-an,VNM,vnm-project-tri-an-expansion,vnm-moit-project-tri-an,project_page,project profile,confirmed,MOIT profile uniquely identifies the 200 MW Tri An expansion
vnm-link-evn-kfw-tri-an,VNM,vnm-project-tri-an-expansion,vnm-evn-kfw-tri-an-2025,named_in,loan agreement announcement,confirmed,Direct operator source identifies the EUR 65 million KfW loan and construction milestones
sen-project-annex-01-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-01,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 1",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-02-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-02,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 2",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-03-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-03,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 3",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-04-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-04,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 4",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-05-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-05,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 5",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-06-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-06,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 6",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-07-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-07,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 7",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-08-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-08,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 8",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-08-sen-aeme-project-08,SEN,sen-project-annex-08,sen-aeme-project-08,project_page,Project heading; details cross-checked against AEME annual report 2023,confirmed,Direct promoter/funder evidence; only the specified project or component is matched.
sen-project-annex-08-sen-aeme-report-2023,SEN,sen-project-annex-08,sen-aeme-report-2023,project_report,2023 programme activities; named programme section,confirmed,Earlier activities are not completion of the investment-plan expansion.
sen-project-annex-09-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-09,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 9",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-09-sen-aeme-project-09,SEN,sen-project-annex-09,sen-aeme-project-09,project_page,Project heading; details cross-checked against AEME annual report 2023,confirmed,Direct promoter/funder evidence; only the specified project or component is matched.
sen-project-annex-09-sen-aeme-report-2023,SEN,sen-project-annex-09,sen-aeme-report-2023,project_report,2023 programme activities; named programme section,confirmed,Earlier activities are not completion of the investment-plan expansion.
sen-project-annex-10-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-10,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 10",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-10-sen-aeme-project-10,SEN,sen-project-annex-10,sen-aeme-project-10,project_page,Project heading; details cross-checked against AEME annual report 2023,confirmed,Direct promoter/funder evidence; only the specified project or component is matched.
sen-project-annex-10-sen-aeme-report-2023,SEN,sen-project-annex-10,sen-aeme-report-2023,project_report,2023 programme activities; named programme section,confirmed,Earlier activities are not completion of the investment-plan expansion.
sen-project-annex-11-sen-investment-plan-annexes-mirror,SEN,sen-project-annex-11,sen-investment-plan-annexes-mirror,named_in,"Annex 2, p. 13, row 11",confirmed,Submission identity only; no financing or physical advancement implied.
sen-project-annex-11-sen-investment-plan-l4-mirror,SEN,sen-project-annex-11,sen-investment-plan-l4-mirror,named_in,"p. 33, QW5; main plan crosswalk",confirmed,Same proposal; quick-win rank remains separate from financial and physical statuses.
sen-project-annex-11-sen-aeme-project-11,SEN,sen-project-annex-11,sen-aeme-project-11,project_page,Project heading; details cross-checked against AEME annual report 2023,confirmed,Direct promoter/funder evidence; only the specified project or component is matched.
