search_id,country,authority,query_or_route,checked_at,outcome,next_step,notes
idn-search-cihaur-talaga-20260912,IDN,JETP Indonesia Secretariat and PLN,"Exact Cihaur and Talaga names, Majalengka location and 1.5 MW plus 1 MW capacity variants across JETP, PLN, operator and news routes",2026-09-12,central_only,Recheck the current JETP portfolio and PLN procurement pages on the next pass,No exact authority or operator record was resolved and the current seven-project official portfolio index omits the bundle
idn-search-gde-pipeline-20260912,IDN,Geo Dipa Energi and development partners,"Exact 965 MW, 5200 tonnes per year and 2025-2034 pipeline terms across Geo Dipa, ADB, KSB, government and news routes",2026-09-12,central_only,Recheck Geo Dipa annual reporting and project pipeline disclosures,Broader 1020 MW by 2035 ambitions and separate Dieng or Patuha projects did not resolve the exact combined Appendix 2 programme
idn-search-dediesel-east-20260912,IDN,PLN Indonesia Power and PT EMITS,"Exact 46-site eastern cluster, PT EMITS, Indika and InfraCo terms across operator, PLN, JETP and news routes",2026-09-12,central_only,Recheck consortium and PLN procurement pages for a signed PPA or construction evidence,Programme-level sources corroborate Phase 1 and current delay but no exact direct eastern-cluster project page was found
idn-search-e-taxi-20260912,IDN,JETP Indonesia Secretariat and transport operators,"Exact electric taxi, e-taxi and intended Q1 2025 start terms across JETP, transport authority, operator and news routes",2026-09-12,central_only,Recheck the JETP portfolio and identified operator disclosures if the project name is published,Searches surfaced unrelated electric-taxi services but no record attributable to this Indonesian JETP pipeline entry
idn-search-rscm-efficiency-20260912,IDN,Cipto Mangunkusumo Hospital and JETP Indonesia Secretariat,"Exact RSCM Kencana, Kiara, HVAC, boiler and investment-grade-audit terms across hospital, JETP, ESCO and news routes",2026-09-12,central_only,Recheck hospital procurement and ESCO disclosures for award or works evidence,No exact project-level authority or contractor source was resolved and the current official portfolio index omits the project
vnm-search-decision-1929-fulltext-20260912,VNM,Ministry of Industry and Trade,"MOIT JETP document index pages 1-2, portal search for 1929, exact-number web searches and the ministry legal-document index",2026-09-12,partial,Retain vnm-evn-decision-1929-news-2026 and recheck the MOIT legal register on the next pass,Decision 1929/QĐ-BCT dated 2026-07-29 is confirmed by official-operator and ministry-affiliated news but no signed full text or direct attachment was located
vnm-search-undisclosed-project-identities-20260912,VNM,MOIT JETP Secretariat and IPG,"MOIT project index, thirteen-newsletter series, July 2025 MOIT and EEAS disclosures, and exact project-count searches",2026-09-12,not_published,Monitor the MOIT project index and subsequent newsletters for newly disclosed names,"Official July 2025 sources name three of seven initial projects, refer to the remaining 4 only by count, and report 17 screened proposals only by count; the current portal exposes the same three named projects"
vnm-search-adb-jetp-allocation-20260912,VNM,Asian Development Bank,"ADB Viet Nam project index, ETM pages, projects 55327-001 and 58382-001, direct news, MOIT project index, and exact JETP searches",2026-09-12,blocked,Retry the direct ADB project pages and monitor MOIT disclosures for a portfolio match,"The three direct ADB routes used here returned HTTP 403 during the pilot harvest; cached official news confirms the 2022 VinFast package but no official source maps VinFast or the regional BESS assistance to the strict 24"
vnm-search-bii-iati-jetp-allocation-20260912,VNM,British International Investment,"BII direct news, official VPBank co-announcement, IATI publisher profile GB-COH-03877777, and exact JETP and VPBank searches",2026-09-12,partial,Monitor BII IATI activity publication and MOIT project disclosures before assigning a strict project match,"The USD 50 million BII share of the USD 350 million VPBank facility is confirmed directly, but neither source says JETP; the IATI dashboard generated 2026-09-06 reports zero valid BII activities and a failing activity dataset"
sen-search-jetp-annual-report-20260912,SEN,Ministry of Energy Petroleum and Mines and International Partners Group,"Official ministry, European Commission, IPG and Senelec routes plus exact annual report searches",2026-09-12,not_published,Monitor the ministry and EU partnership portals and distinguish any future JETP report from operator reporting,"No dedicated Senegal JETP annual report for 2024 or 2025 was located. Senelec publishes a separate corporate annual series through 2024; its 2023 and 2024 reports were collected as operator evidence, not relabelled as JETP annual reports."
sen-project-annex-01-search-20260913,SEN,MicroGen Renewables & Senegal Transaction International SARL,"Exact-title search: ""Super Mini grids"" Senegal; ""MicroGen Renewables"" Senegal",2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,Only central proposal and company-directory context located; no attributable Senegal project page or financing document.
sen-project-annex-02-search-20260913,SEN,Université Assane Seck de Ziguinchor,site.uasz.sn Abéné résilience; UASZ bibliography and Annex 8 project 1,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,Older Abene research does not establish delivery or financing of the submitted resilience project.
sen-project-annex-03-search-20260913,SEN,Université Assane Seck de Ziguinchor,site.uasz.sn briquettes charbon JETP; UASZ 2022 briquette research and Annex 8 project 2,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,Technical research located; no separate official record of the submitted pilot rollout or its funding.
sen-project-annex-04-search-20260913,SEN,KRAEE Solair Africa Energy,"Exact-title search: ""Airport Express"" ""KRAEE""; ""KRAEE"" ""Solair""",2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,No attributable promoter or funder project publication located.
sen-project-annex-05-search-20260913,SEN,ASER,"https://aser.sn/; search site.aser.sn ""350""; BOAD project search; Annex 8 project 3",2026-09-13,blocked,Recheck the exact project with its promoter and named funders at the next documentary refresh,ASER portal could not be fetched. The MCC 350-village access programme and BOAD 1000-village programme are not identity evidence for this submission.
sen-project-annex-06-search-20260913,SEN,ASER,https://aser.sn/; ASER programme index and Annex 8 project 4,2026-09-13,blocked,Recheck the exact project with its promoter and named funders at the next documentary refresh,ASER portal could not be fetched; generic mini-grid title does not identify a financing agreement.
sen-project-annex-07-search-20260913,SEN,ASER,"https://aser.sn/; search ""Sénégal"" ""600 villages"" injection; main plan printed p. 240",2026-09-13,blocked,Recheck the exact project with its promoter and named funders at the next documentary refresh,"ASER portal could not be fetched. This is a component of PUELEC, not the entire quick-win programme."
sen-project-annex-17-search-20260913,SEN,PNB,"https://pnb.sn/; site.pnb.sn ""27 000""; main plan printed pp. 58 and 247-248",2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,"PNB programme and existing biodigester activities collected, but no project-specific official follow-up for the 27000-unit extension located."
sen-project-annex-18-search-20260913,SEN,OFF GRID AFRICA,"Search ""Off Grid Africa"" entrepôts frigorifiques Sénégal; Off-Grid Europe 2025 mini-grid brochure",2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,"Promoter brochure URL returns 404; Much Cooler product is a lead, not proof of the submitted warehouse rollout."
sen-project-annex-19-search-20260913,SEN,CETUD,CETUD BioGNV search; CETUD 2021 innovation-prize announcement; Annex 8 project 16,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,"Earlier BioGNV award names an initiative; it does not establish identity, finance or delivery of the later production-unit proposal."
sen-project-annex-21-search-20260913,SEN,Bureau de Mise à Niveau des Entreprises du Sénégal,BMN environnement et efficacité énergétique programme and Villes Durables publications; Annex 8 project 18,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,"Related industrial energy programmes exist, but the submitted economic-poles proposal is not separately identified by the operator."
sen-project-annex-23-search-20260913,SEN,ANER,ANER public project catalogue /api/projects and Transition 2026 magazine; Annex 8 project 20,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,Existing health-facility schemes and VEROUHS concern narrower or different activities; no exact whole-programme follow-up located.
sen-project-annex-25-search-20260913,SEN,ANER,ANER public project catalogue /api/projects and Transition 2026 magazine; Annex 8 project 22,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,Generic training and internal capacity statements do not identify the submitted standalone capacity programme.
sen-project-annex-28-search-20260913,SEN,ANER,ANER public project catalogue /api/projects; search site.aner.sn dessalement; Annex 8 project 25,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,No exact solar brackish-water desalination project follow-up located in the checked operator catalogue.
sen-project-annex-30-search-20260913,SEN,ANER,ANER public project catalogue /api/projects; search site.aner.sn TURBULENT; Annex 8 project 27,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,No exact TURBULENT mini-network project page located in the checked operator catalogue.
sen-project-annex-32-search-20260913,SEN,DIENG & Co Engineering,"Search ""Fass Ngom"" solaire éolien and ""Fass Ngom"" ""Dieng""; VEMAR renewable-energy page",2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,"VEMAR names a 50 MW wind development at Fass Ngom, but the plan promoter is DIENG & Co Engineering and the proposal is hybrid; identity remains unconfirmed."
sen-project-annex-33-search-20260913,SEN,SENELEC,Senelec 2023/2024 annual reports and 2026 procurement index; Annex 8 project 29,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,Broad network-modernisation submission is not a licence to pool all Senelec grid investments under one project identity.
sen-project-annex-35-search-20260913,SEN,SENELEC,"Search ""Senelec"" ""bornes"" recharge électriques; Senelec 2026 procurement index; Annex 8 project 31",2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,Pilot charging-station and regulatory leads located; no official project-level crosswalk to the submitted national rollout.
sen-project-annex-36-search-20260913,SEN,MASAE,"Exact-title search ""SUNU Agri-Solaire""; MASAE attribution in Annex 8 project 32",2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,Only central-plan evidence located for the 2025-2027 proposal; no project-specific funder/operator record.
sen-project-annex-37-search-20260913,SEN,MHA,"site.mha.gouv.sn ""Forages solarisés""; Annex 8 project 33; ANER project catalogue",2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,No exact MHA project follow-up located. Do not merge the MHA submission with ANER 2000-forage hybridisation solely on technology.
sen-project-annex-38-search-20260913,SEN,OMVG,site.omvg.org Sambangalou STEP pompage; MHA Sambangalou works announcement; Annex 8 project 34,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,Conventional dam works are not implementation evidence for the proposed pumped-storage addition.
sen-project-qw-02-search-20260913,SEN,Senelec,Senelec procurement index; AFD/AfDB project search; main plan printed p. 53 Champions Nationaux,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,"Proposed financing vehicle; no separately attributable approval, agreement or construction publication located."
sen-project-qw-03-search-20260913,SEN,Senelec,Senelec procurement index; AFD/AfDB project search; main plan printed p. 54 Leral,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,"Proposed fund and IPP; no separately attributable approval, agreement or construction publication located."
sen-project-qw-04-search-20260913,SEN,ASER,ASER portal; national energy compact; main plan printed pp. 57 and 240 PUELEC,2026-09-13,blocked,Recheck the exact project with its promoter and named funders at the next documentary refresh,ASER portal could not be fetched; central programme definition remains available. PUELEC covers several components and is not identical to the 600-village project.
sen-project-qw-08-search-20260913,SEN,Senelec,Senelec procurement index; SEMIS two-site BESS study; main plan printed p. 56 network-stability study,2026-09-13,central_only,Recheck the exact project with its promoter and named funders at the next documentary refresh,Earlier site-level feasibility study is not evidence that the broader quick-win network study is contracted or completed.
sen-afd-senelec-670m-search-20260913,SEN,AFD / Senelec,site.afd.fr JETP Senelec 670; direct Diass factsheet; Senelec AMI 52/2024,2026-09-13,not_published,Recheck the exact project with its promoter and named funders at the next documentary refresh,No primary confirmation of EUR 670 million located; excluded from financial events.
sen-saloum-prequalification-dossier-search-20260913,SEN,Senelec,"AAO 30/2026 p. 2, paragraphs 4-5",2026-09-13,not_published,Recheck the exact project with its promoter and named funders at the next documentary refresh,"The complete prequalification dossier is supplied by email on request, not linked publicly; no email sent."
sen-diass-feasibility-report-search-20260913,SEN,AFD / Senelec,"ARE Scale up factsheet, final report availability",2026-09-13,not_published,Recheck the exact project with its promoter and named funders at the next documentary refresh,The final study is available on request; no public document link or signed finance agreement provided.
sen-resume-sen-project-annex-01,SEN,MicroGen Renewables & Senegal Transaction International SARL,Exact title and MicroGen Renewables Senegal; UK innovation-company references,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,Promoter capability located; no attributable Senegal project page. Technology cannot be inferred from its other hydropower work.
sen-resume-sen-project-annex-02,SEN,Université Assane Seck de Ziguinchor,UASZ Abene resilience; AFD and Fondem KASOFOR pages,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,"KASOFOR shares Casamance resilience themes, but its consortium and island scope do not establish the UASZ Abene submission identity."
sen-resume-sen-project-annex-03,SEN,Université Assane Seck de Ziguinchor,UASZ briquetage Casamance pilot rollout; Annex 8 public proposal,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,No separate pilot-rollout or finance record located; research publications alone do not establish implementation.
sen-resume-sen-project-annex-04,SEN,KRAEE Solair Africa Energy,KRAEE Solair Africa Energy Airport Express AIBD electric taxis,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,No attributable promoter/funder project page located; no company or taxi project identity invented.
sen-resume-sen-project-annex-05,SEN,ASER,ASER canonical and www retries; government access project fiches; Annex 8 pp.26-29,2026-09-13,blocked,Recheck when a new operator/funder publication or original project identifier becomes available.,Both ASER routes refuse connections; government project-fiche route fails TLS validation. The exact 350-village proposal remains uncorroborated.
sen-resume-sen-project-annex-06,SEN,ASER,ASER www retry; search 330 localities 150 repowering; Annex 8 pp.30-31,2026-09-13,blocked,Recheck when a new operator/funder publication or original project identifier becomes available.,Portal connection refused. Generic submission now disambiguated as 330 localities plus 150 repowering; no matching public financing record.
sen-resume-sen-project-annex-07,SEN,ASER,ASER www retry; 600 villages 24MW injection; Annex 8 pp.32-33,2026-09-13,blocked,Recheck when a new operator/funder publication or original project identifier becomes available.,Portal connection refused; 24MWc and 600 villages are proposal targets. No separate finance or delivery evidence.
sen-resume-sen-project-annex-17,SEN,PNB,PNB biogaz and partners pages; 27000-unit extension search,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,Programme credit/guarantee mechanism collected; no amount attributable to the proposed 27000-unit extension.
sen-resume-sen-project-annex-18,SEN,OFF GRID AFRICA,"Off-Grid Europe Much Cooler product, February 2026 EOI and October 2025 Africool memorandum",2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,Podor pilot and wider cold-storage partnerships are documented; exact crosswalk to this submitted warehouse rollout remains unconfirmed. Neither advertised 85% finance nor FCFA170bn is allocated to it.
sen-resume-sen-project-annex-21,SEN,Bureau de Mise à Niveau des Entreprises du Sénégal,BMN economic-poles renewable project; programme history; Annex 8 BMN project description,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,Broader BMN/UNIDO initiatives do not identify the specific economic-poles proposal; plan estimate remains a need.
sen-resume-sen-project-annex-23,SEN,ANER,"ANER project API, Transition 2026 and public-institution solarisation search",2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,Public-facility schemes have narrower scopes; no document identifies the whole submitted programme.
sen-resume-sen-project-annex-25,SEN,ANER,CAA project 065 ANER climate finance; GIZ PED II factsheet; ANER catalogue,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,Specific CAA training support is indexed but its archive returns HTTP403; exact crosswalk to the plan capacity programme remains unconfirmed. PED II is broader.
sen-resume-sen-project-annex-28,SEN,ANER,ANER magazine p.15 Gandiaye; 2020 tender retry; Annex 8 desalination proposal,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,"Gandiaye pilot is documented, but no linkage establishes delivery of the later multi-unit proposal. Legacy PDF URL returns HTML and is rejected."
sen-resume-sen-project-annex-30,SEN,ANER,ANER TURBULENT exact-title and provider search; public project catalogue; Annex 8 p.59,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,"No exact operator project page, location or implemented technology specification located; maturity scores are not implementation evidence."
sen-resume-sen-project-annex-32,SEN,DIENG & Co Engineering,DIENG and Co Fass Ngom hybrid search; VEMAR operator comparison,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,Different promoter and wind-only description prevent merging VEMAR evidence into the hybrid proposal.
sen-resume-sen-project-annex-33,SEN,SENELEC,Senelec 2024 annual report; AFD ARE Scale-Up 2017-2025 Smartgrid section,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,"Grid modernisation activity exists, but the broad submission is not a uniquely identified Smartgrid project or a pool of all grid investments."
sen-resume-sen-project-annex-35,SEN,SENELEC,Senelec charging pilot; national IRVE study notice 107072743; procurement index,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,Framework-study notice is archive-blocked; earlier charger-pilot evidence cannot establish national rollout or its funding.
sen-resume-sen-project-annex-36,SEN,MASAE,SUNU Agri-Solaire exact title and ministry routes; Annex 8 public proposal,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,No separate attributable publication located; similarly named agricultural platforms are not this agrivoltaic proposal.
sen-resume-sen-project-annex-37,SEN,MHA,MHA April 2026 water compact and OFOR solarisation; compare plan scope,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,Water compact has a separate borehole baseline and targets; no explicit crosswalk to this submission or ANER 2000-borehole proposal.
sen-resume-sen-project-annex-38,SEN,OMVG,OMVG official and energy portals; STEP prefeasibility workshop 3 June 2026 lead,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,"Official portal fails; energy portal describes conventional dam. Indexed repost suggests a pumped-storage study workshop, but original publication/report was not retrieved; no milestone promoted from the lead."
sen-resume-sen-project-qw-02,SEN,Senelec,"Senelec Champions Nationaux project, funder and 2026 procurement searches",2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,No exact project financing/implementation follow-up located. Differently sized EPCF solar tenders are not identity matches.
sen-resume-sen-project-qw-03,SEN,Senelec,Senelec Leral project and funder searches; 2026 procurement index,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,No exact project follow-up located; Leral media references and other solar tenders are not the proposed investment vehicle.
sen-resume-sen-project-qw-04,SEN,ASER,ASER canonical and www routes; main plan PUELEC scope and compact,2026-09-13,blocked,Recheck when a new operator/funder publication or original project identifier becomes available.,Operator access still blocked; prospective programme allocations overlap the three ASER submissions and other access measures.
sen-resume-sen-project-qw-08,SEN,Senelec,Senelec stability-study procurement; AFD ARE Scale-Up review; SEMIS site study,2026-09-13,central_only,Recheck when a new operator/funder publication or original project identifier becomes available.,Diass/site-level studies are not completion evidence for the whole-network quick-win study; plan grant allocation remains prospective.
sen-dig-sen-project-annex-05,SEN,Senelec / ASER / study contractors,sen-mrv-350-villages,2026-09-13,blocked,"Obtain contract identifiers, village list or SPV ownership crosswalk; see case analysis.",New preparation/site evidence does not prove capital-finance approval or physical completion.
sen-dig-sen-project-annex-15,SEN,Senelec / ASER / study contractors,sen-artelia-thiestouba-gbif,2026-09-13,collected,"Obtain contract identifiers, village list or SPV ownership crosswalk; see case analysis.",New preparation/site evidence does not prove capital-finance approval or physical completion.
sen-dig-sen-project-qw-02,SEN,Senelec / ASER / study contractors,sen-boad-ouarkhokh-esia; sen-senelec-huawei-mou-social; sen-rts-huawei-mou-2026,2026-09-13,central_only,"Obtain contract identifiers, village list or SPV ownership crosswalk; see case analysis.",New preparation/site evidence does not prove capital-finance approval or physical completion.
sen-scout-trial-sen-project-annex-01,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: MicroGen/company and exact proposal searches found no Senegal project-specific identifier.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",MicroGen/company and exact proposal searches found no Senegal project-specific identifier.
sen-scout-trial-sen-project-annex-02,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: UASZ Abene/community-resilience searches did not establish the submitted project identity; KASOFOR excluded.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",UASZ Abene/community-resilience searches did not establish the submitted project identity; KASOFOR excluded.
sen-scout-trial-sen-project-annex-03,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: UASZ/Casamance briquetage searches found no project-specific operator or financing record.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",UASZ/Casamance briquetage searches found no project-specific operator or financing record.
sen-scout-trial-sen-project-annex-04,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: KRAEE/Airport Express/AIBD electric-taxi searches found no attributable project identifier.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",KRAEE/Airport Express/AIBD electric-taxi searches found no attributable project identifier.
sen-scout-trial-sen-project-annex-05,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: GIZ project2020.2099.8 confirms GFA participation in PED II; MRV350-village contract and village list remain missing.,2026-09-13,blocked,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",GIZ project2020.2099.8 confirms GFA participation in PED II; MRV350-village contract and village list remain missing.
sen-scout-trial-sen-project-annex-06,SEN,"Senelec/ASER/ANER, responsible agencies and public funders","Bounded scout trial: T_ASER_003 at-least100-village and18-site repowering tenders are different-scale leads, not the330+150 proposal.",2026-09-13,blocked,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.","T_ASER_003 at-least100-village and18-site repowering tenders are different-scale leads, not the330+150 proposal."
sen-scout-trial-sen-project-annex-07,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: No attributable600-village/24MWc source; AfDB road-access result excluded.,2026-09-13,blocked,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",No attributable600-village/24MWc source; AfDB road-access result excluded.
sen-scout-trial-sen-project-annex-17,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: PNB2678 baseline and27000 national target corroborated in official strategy; extension delivery/finance not established.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",PNB2678 baseline and27000 national target corroborated in official strategy; extension delivery/finance not established.
sen-scout-trial-sen-project-annex-18,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: OffGrid warehouse searches yielded no exact proposal crosswalk; Africool and Podor remain broader/narrower schemes.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",OffGrid warehouse searches yielded no exact proposal crosswalk; Africool and Podor remain broader/narrower schemes.
sen-scout-trial-sen-project-annex-21,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: BMN economic-pole searches yielded no project-specific identity beyond broad programmes.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",BMN economic-pole searches yielded no project-specific identity beyond broad programmes.
sen-scout-trial-sen-project-annex-23,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: ANER/ICE D2B17SN01 fiche is a narrower192-health-site scheme; broader institutional programme remains unconfirmed.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",ANER/ICE D2B17SN01 fiche is a narrower192-health-site scheme; broader institutional programme remains unconfirmed.
sen-scout-trial-sen-project-annex-25,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: CAA065/ANER capacity routes did not establish the exact plan programme.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",CAA065/ANER capacity routes did not establish the exact plan programme.
sen-scout-trial-sen-project-annex-28,SEN,"Senelec/ASER/ANER, responsible agencies and public funders","Bounded scout trial: CESAG exact-title footnote adds secondary geography/duration leads, no direct operator record.",2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.","CESAG exact-title footnote adds secondary geography/duration leads, no direct operator record."
sen-scout-trial-sen-project-annex-30,SEN,"Senelec/ASER/ANER, responsible agencies and public funders","Bounded scout trial: CESAG exact TURBULENT title adds secondary eligible-river-site and duration leads, no selected sites/operator record.",2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.","CESAG exact TURBULENT title adds secondary eligible-river-site and duration leads, no selected sites/operator record."
sen-scout-trial-sen-project-annex-32,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: DIENG/FassNgom exact searches yielded no match; VEMAR wind-only remains excluded.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",DIENG/FassNgom exact searches yielded no match; VEMAR wind-only remains excluded.
sen-scout-trial-sen-project-annex-33,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: Patte dOie and other named network works cannot be pooled into the generic modern-network proposal.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",Patte dOie and other named network works cannot be pooled into the generic modern-network proposal.
sen-scout-trial-sen-project-annex-35,SEN,"Senelec/ASER/ANER, responsible agencies and public funders",Bounded scout trial: dgMarket107072743 remains a blocked preparation-study lead; no official notice or rollout record retrieved.,2026-09-13,central_only,"Obtain the specific missing contract, village list, SPV or original operator record identified in the trial report.",dgMarket107072743 remains a blocked preparation-study lead; no official notice or rollout record retrieved.
