referent_kind,referent_id,review_status,checked_at,route,document_ids,notes
agreement,agreement-idn-grant-etmptf,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-etmptf,Direct official profile resolved; trust-fund support is not plant-retirement evidence
agreement,agreement-idn-grant-eu-indonesia-cooperation-facility,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-euicf,Direct official profile resolved; facility-level scope retained
agreement,agreement-idn-grant-explore,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-explore,Direct official profile resolved; predecessor relationship with LCORE-INDO retained
agreement,agreement-idn-grant-gesit,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-gesit,Direct official profile resolved; green-jobs objective retained
agreement,agreement-idn-grant-green-energy-transition-indonesia,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-green-energy-transition,Direct official profile resolved; page and report currency presentations remain separate observations
agreement,agreement-idn-grant-growth-gateway,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-growth-gateway,Direct official profile resolved; SMME project-development support retained
agreement,agreement-idn-grant-iki-flex-jetp,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-iki-flex,Direct official profile resolved; contribution remains separate from Energy Hub
agreement,agreement-idn-grant-iki-jet,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-iki-jet,Direct official profile resolves East Kalimantan and South Sumatra focus
agreement,agreement-idn-grant-ipdf,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-ipdf,Direct official profile resolved; policy-dialogue role retained
agreement,agreement-idn-grant-jetp-esia-study,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-jetp-esia,Direct ESIA profile separately resolved from the broader financing-facilitation grant
agreement,agreement-idn-grant-jetp-financing-facilitation,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-jetp-financing,Direct financing-facilitation profile separately resolved from its ESIA-study row
agreement,agreement-idn-grant-jetp-secretariat-capacity,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-secretariat-capacity,Direct official profile resolves institutional support to the Secretariat
agreement,agreement-idn-grant-jt-framework-phase-2,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-jt-framework,Direct official profile resolves two renewable-energy pilots as programme scope
agreement,agreement-idn-grant-just-transition-coal-regions,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-jt-coal-regions,Direct official profile resolved; no physical closure is inferred
agreement,agreement-idn-grant-mentari-policy,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-mentari-policy,Direct MENTARI JETP-contribution profile resolved
agreement,agreement-idn-grant-mentari-vgf,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-mentari-vgf,Direct viability-gap profile separately resolved from MENTARI policy support
agreement,agreement-idn-grant-patuha-2,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-patuha2,Direct grant profile resolved; grant approval is not construction evidence
agreement,agreement-idn-grant-perform,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-perform,Direct official profile resolves fiscal-policy scope
agreement,agreement-idn-grant-pt-smi-early-retirement,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-pt-smi-retirement,Direct official profile resolved; institutional capacity is not coal-plant retirement evidence
agreement,agreement-idn-grant-re2cool,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-re2cool,Direct official profile resolved; blank public description retained as a source limitation
agreement,agreement-idn-grant-re2grid,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-re2grid,Direct official profile resolves grid advisory and variable-renewables scope
agreement,agreement-idn-grant-reep2,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-reep2,Direct official profile resolves DG-NREEC and GIZ implementation
agreement,agreement-idn-grant-s4i,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-s4i,Direct official profile resolves four institutional and project-preparation components
agreement,agreement-idn-grant-sdg-indonesia-one,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-sdg-one,Direct official profile resolves PT SMI and AFD partnership scope
agreement,agreement-idn-grant-seti,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-seti,Direct official profile resolves institutional regulatory financial and pilot scope
agreement,agreement-idn-grant-sustainable-hydropower-2,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-sustainable-hydropower,Direct official profile resolves PLN training and operational-planning scope
agreement,agreement-idn-grant-uk-pact,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-uk-pact,Direct official profile resolved; umbrella programme scope retained
agreement,agreement-idn-grant-wolcot,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-wolcot,Direct official profile resolves WOLCOT relationship to CIF-ACT
asset,asset-idn-pipe-cirebon-1-retirement,collected,2026-09-12,Marubeni framework announcement and Reuters 2025 ministerial update,idn-jetp-progress-report-2025;idn-project-cirebon-framework-marubeni;idn-news-cirebon-retirement-reuters-2025,Conditional 2023 framework and 2025 closure proposal preserved before the later statement that early retirement was unlikely to proceed; Reuters archive request returned HTTP 401
party,african-development-bank,blocked,2026-09-12,,zaf-afdb-jet-funding-platform;zaf-jet-investment-register-q1-2026;sen-afdb-plan-procurement-2023,Review status collected: Direct project record plus national register | Review status blocked: Official plan-procurement route located but the current AfDB page presents a human-verification challenge to automated collection
party,asian-development-bank,blocked,2026-09-12,,idn-jetp-progress-report-2025;vnm-adb-vinfast-55327-001;vnm-adb-bess-58382-001;vnm-adb-vinfast-news-2022,Review status collected: Named loan grant guarantee and ETM delivery routes are itemised in the official report | Review status blocked: Direct ADB project routes were located but returned HTTP 403 to automated collection; accessible official news confirms climate finance but no source maps these leads to the strict July 2025 portfolio
party,british-international-investment,collected,2026-09-12,,idn-jetp-progress-report-2025;vnm-bii-vpbank-2025;vnm-vpbank-sustainable-finance-2025;vnm-iati-bii-publisher,Named UK public development-finance equity operation is itemised in the official report | Direct BII and borrower announcements confirm the VPBank facility; IATI publishes no valid BII activity rows and no source attributes the transaction to the strict JETP portfolio
party,development-bank-of-southern-africa,collected,2026-09-12,,zaf-eib-dbsa-renewables-2024;zaf-dbsa-ntcsa-transmission,Direct co-financing and transmission implementation records
party,eskom,collected,2026-09-12,,zaf-world-bank-eskom-jet-p177398;zaf-jet-investment-register-q1-2026,Direct World Bank Eskom project record plus national register
party,european-investment-bank,collected,2026-09-12,,idn-jetp-progress-report-2025;sen-eib-jetp-launch-2023;sen-eu-portal,Named EU sovereign and non-sovereign facility is itemised in the official report | Direct EIB launch record and current EU partnership portal collected
party,european-union,collected,2026-09-12,,idn-jetp-progress-report-2025;sen-eu-portal;sen-political-declaration-fr-2023,Country-group commitment and EU facilities are in the official 2025 tables | Current partnership portal and signed political declaration collected
party,government-of-the-united-kingdom,collected,2026-09-12,,idn-jetp-progress-report-2025;sen-uk-jetp-launch-2023,MDB guarantee PIDG BII FCDO and grant routes are in the official 2025 tables | Official UK-hosted joint launch statement collected
party,international-partners-group,collected,2026-09-12,,zaf-eu-jetp-country-page;zaf-jet-implementation-plan-2023-2027;idn-jetp-joint-statement-2022;idn-jetp-progress-report-2025;sen-political-declaration-fr-2023;sen-eu-portal,EU overview and national implementation plan collected | Founding package and post-US membership and pledge update collected | Founding declaration and current European Commission partnership portal collected
party,japan-international-cooperation-agency,collected,2026-09-12,,idn-jetp-progress-report-2025,Named Japanese sovereign project loans are itemised in the official report
party,jet-project-management-unit,collected,2026-09-12,,zaf-jet-pmu-resource-hub;zaf-jet-investment-register-q1-2026,Resource hub reports registers news and project collection harvested
party,jetp-indonesia-secretariat,collected,2026-09-12,,idn-jetp-reports-2025-landing;idn-jetp-progress-report-2025,Official report index and complete 2025 progress report collected
party,kfw-development-bank,collected,2026-09-12,,idn-jetp-progress-report-2025,Named German sovereign and project finance facilities are itemised in the official report
party,ministry-of-energy-petroleum-and-mines,collected,2026-09-12,,sen-mepm-portal-2026;sen-investment-plan-l4-mirror,Current ministry portal and complete investment plan collected; annual-report publication is tracked separately
party,national-transmission-company-south-africa,collected,2026-09-12,,zaf-ntcsa-transmission-plans;zaf-dbsa-ntcsa-transmission,Direct operator planning portal and implementation-partner record
party,presidential-climate-commission,collected,2026-09-12,,zaf-pcc-jet-ip;zaf-jet-ip-2023-2027,Direct PCC landing page and national investment plan collected
party,senelec,collected,2026-09-12,,sen-senelec-reports-index;sen-senelec-annual-report-2023;sen-senelec-annual-report-2024,Official annual series and the 2023 and 2024 reports collected; project claims will be reconciled separately
party,united-states,collected,2026-09-12,,zaf-jet-us-withdrawal-2025;zaf-jet-grants-register-2024-q3,Historical commitments retained separately from the 2025 withdrawal
party,world-bank,collected,2026-09-12,,zaf-world-bank-eskom-jet-p177398;zaf-jet-investment-register-q1-2026,Direct project record plus national register
perimeter,vnm-jetp-portfolio-2025,not_published,2026-09-12,MOIT project index and July 2025 JETP Secretariat IPG disclosure,vnm-moit-newsletter-05-2025-07;vnm-eeas-jetp-project-progress-2025;vnm-moit-project-index-2026,Identity not published; this row is one source-defined slot among the four remaining initial projects and does not assert a name | Identity not published; this row is one source-defined slot among 17 screened new proposals and does not assert a name
project,project-idn-pipe-dediesel-west-phase1,collected,2026-09-12,ib vogt award page plus programme-level JETP GEAPP and IEEFA sources,idn-jetp-progress-report-2025;idn-jetp-work-plan-2024-presentation;idn-ibvogt-diesel-west-2023;idn-geapp-diesel-replacement-program;idn-ieefa-dediesel-update-2026,Direct operator page resolves the 48-project western cluster; scheduled 2025 construction was not treated as actual delivery and the 2026 assessment reported no signed first-phase PPA
project,project-idn-pipe-eib-sustainable-infrastructure,collected,2026-09-12,European Investment Bank direct announcement,idn-jetp-progress-report-2025;idn-eib-ptsmi-mou-2024;idn-portfolio-project-index-2026,Direct funder source confirms a potential EUR 500m framework loan subject to approval; no project allocation or approval is inferred
project,project-idn-pipe-hululais-1-2,collected,2026-09-12,https://portfolio.jetp.id/project/geothermal-hululais-unit-1-2,idn-jetp-progress-report-2025;idn-portfolio-project-hululais,Current official profile shows approved JICA financing after the 2025 in-process snapshot
project,project-idn-pipe-legok-nangka-waste,collected,2026-09-12,United Tractors cooperation agreement and ANTARA groundbreaking report,idn-jetp-progress-report-2025;idn-project-legok-agreement-ut-2024;idn-news-legok-groundbreaking-antara-2026,Direct consortium agreement and later officially attributed construction milestone archived
project,project-idn-pipe-rsud-energy-efficiency,blocked,2026-09-12,C40 CFF Retrofitting 27 Hospitals in Jakarta report,idn-jetp-progress-report-2025;idn-project-rsud-retrofit-c40,Exact five-page project report reviewed through the public document index but direct archive request returned HTTP 403
project,project-idn-pipe-singkarak-floating-solar,collected,2026-09-12,ACWA Power 2022 project announcement,idn-jetp-progress-report-2025;idn-project-singkarak-acwa-2022,Direct developer source confirms the 50 MWac project and ownership; later 2025 suspended status remains controlling
project,project-idn-pipe-solar-cell-manufacturing,collected,2026-09-12,SEG Solar construction and Phase I operation releases,idn-jetp-progress-report-2025;idn-project-seg-construction-2024;idn-project-seg-operational-2025,Direct operator pages preserve construction and later operation even though the later-published JETP report only recorded groundbreaking
project,project-idn-pipe-sutami-floating-solar,collected,2026-09-12,PLN Nusantara Power Karangkates construction update,idn-jetp-progress-report-2025;idn-project-sutami-construction-plnnp-2026,Direct operator source advances the project from the report's procurement state to construction in February 2026
project,project-idn-pipe-tanah-laut-wind,collected,2026-09-12,PLN Nusantara Power flagship profile and PLN Nusantara Renewables PPA article,idn-jetp-progress-report-2025;idn-project-tanah-laut-plnnp;idn-project-tanah-laut-ppa-ptplnnr,Direct operator sources confirm 70 MW wind with battery storage PPA and development status without implying financing approval
project,project-sen-project-annex-01,central_only,2026-09-13,Bounded scout trial: MicroGen/company and exact proposal searches found no Senegal project-specific identifier.,sen-investment-plan-annexes-mirror,MicroGen/company and exact proposal searches found no Senegal project-specific identifier. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-02,central_only,2026-09-13,Bounded scout trial: UASZ Abene/community-resilience searches did not establish the submitted project identity; KASOFOR excluded.,sen-investment-plan-annexes-mirror;sen-kasofor-afd;sen-kasofor-fondem,UASZ Abene/community-resilience searches did not establish the submitted project identity; KASOFOR excluded. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-03,central_only,2026-09-13,Bounded scout trial: UASZ/Casamance briquetage searches found no project-specific operator or financing record.,sen-investment-plan-annexes-mirror;sen-investment-plan-l4-mirror,UASZ/Casamance briquetage searches found no project-specific operator or financing record. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-04,central_only,2026-09-13,Bounded scout trial: KRAEE/Airport Express/AIBD electric-taxi searches found no attributable project identifier.,sen-investment-plan-annexes-mirror,KRAEE/Airport Express/AIBD electric-taxi searches found no attributable project identifier. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-05,blocked,2026-09-13,Bounded scout trial: GIZ project2020.2099.8 confirms GFA participation in PED II; MRV350-village contract and village list remain missing.,sen-investment-plan-annexes-mirror;sen-aser-www-retry;sen-gov-access-project-fiches;sen-investment-plan-l4-mirror;sen-mrv-350-villages;sen-scout-giz-ped2-project,GIZ project2020.2099.8 confirms GFA participation in PED II; MRV350-village contract and village list remain missing. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-06,blocked,2026-09-13,"Bounded scout trial: T_ASER_003 at-least100-village and18-site repowering tenders are different-scale leads, not the330+150 proposal.",sen-investment-plan-annexes-mirror;sen-aser-www-retry;sen-investment-plan-l4-mirror,"T_ASER_003 at-least100-village and18-site repowering tenders are different-scale leads, not the330+150 proposal. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits."
project,project-sen-project-annex-07,blocked,2026-09-13,Bounded scout trial: No attributable600-village/24MWc source; AfDB road-access result excluded.; ARCOP decisions107/2024 and138/2024,sen-investment-plan-annexes-mirror;sen-aser-www-retry;sen-investment-plan-l4-mirror;sen-arcop-aeepower-decision107-2024;sen-arcop-aeepower-decision138-2024,"No attributable600-village/24MWc source; AfDB road-access result excluded. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits. Document-led follow-up identifies928localities and named2023 instruments in separate ASER-AEE package; no600villages/24MWc/injection crosswalk or complete village schedule, so blocked verdict unchanged."
project,project-sen-project-annex-08,collected,2026-09-13,https://www.aeme.sn/eclairage-efficace-des-batiments/,sen-investment-plan-annexes-mirror;sen-aeme-project-08;sen-aeme-report-2023,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred. Operator HTML page is title-only; annual report provides programme context.
project,project-sen-project-annex-09,collected,2026-09-13,https://www.aeme.sn/eclairage-public-efficace-et-integre/,sen-investment-plan-annexes-mirror;sen-aeme-project-09;sen-aeme-report-2023,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred. Operator HTML page is title-only; annual report provides programme context.
project,project-sen-project-annex-10,collected,2026-09-13,https://www.aeme.sn/ecofridges/,sen-investment-plan-annexes-mirror;sen-aeme-project-10;sen-aeme-report-2023,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred. Operator HTML page is title-only; annual report provides programme context.
project,project-sen-project-annex-11,collected,2026-09-13,https://www.aeme.sn/mise-niveau-des-batiments/,sen-investment-plan-annexes-mirror;sen-aeme-project-11;sen-aeme-report-2023,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred. Operator HTML page is title-only; annual report provides programme context.
project,project-sen-project-annex-12,collected,2026-09-13,https://www.aeme.sn/amelioration-des-performances-energetiques-des-stades/,sen-investment-plan-annexes-mirror;sen-aeme-project-12;sen-aeme-report-2023,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred. Operator HTML page is title-only; annual report provides programme context.
project,project-sen-project-annex-13,collected,2026-09-13,https://www.aeme.sn/pit/,sen-investment-plan-annexes-mirror;sen-aeme-project-13;sen-aeme-report-2023,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred. Operator HTML page is title-only; annual report provides programme context.
project,project-sen-project-annex-14,collected,2026-09-13,https://www.aeme.sn/analyse-et-optimisation-de-la-facture-de-ladministration/,sen-investment-plan-annexes-mirror;sen-aeme-project-14;sen-aeme-report-2023,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred. Operator HTML page is title-only; annual report provides programme context.
project,project-sen-project-annex-15,collected,2026-09-13,https://tenders-afd.dgmarket.com/tender/86609882; deeper site/contractor investigation,sen-investment-plan-annexes-mirror;sen-senelec-thies-touba-par;sen-artelia-thiestouba-gbif,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred. Matches Senelec/AFD two 50MWc plants with 30MW/90MWh each. Sites Touba-Toul and Dealy. Metadata does not establish capital-finance terms.
project,project-sen-project-annex-16,collected,2026-09-13,https://www.senelec.sn/media/marches/appels/Avis_AO_30-_2026_PREQUALIFICATION_VF.pdf,sen-investment-plan-annexes-mirror;sen-senelec-saloum-tender-2026,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred.
project,project-sen-project-annex-17,central_only,2026-09-13,Bounded scout trial: PNB2678 baseline and27000 national target corroborated in official strategy; extension delivery/finance not established.,sen-investment-plan-annexes-mirror;sen-pnb-programme;sen-pnb-biogas-model;sen-pnb-financing-partners;sen-investment-plan-l4-mirror;sen-scout-clean-cooking-strategy,PNB2678 baseline and27000 national target corroborated in official strategy; extension delivery/finance not established. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-18,central_only,2026-09-13,Bounded scout trial: OffGrid warehouse searches yielded no exact proposal crosswalk; Africool and Podor remain broader/narrower schemes.,sen-investment-plan-annexes-mirror;sen-offgrid-mini-grid-2025;sen-offgrid-muchcooler-eoi-2026;sen-offgrid-africool-mou-2025;sen-offgrid-muchcooler-product,OffGrid warehouse searches yielded no exact proposal crosswalk; Africool and Podor remain broader/narrower schemes. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-19,collected,2026-09-13,IFC 609428 disclosure; IFC/CETUD 8 May 2025 agreements; Swedfund biofuels project,sen-investment-plan-annexes-mirror;sen-cetud-biognv-2021;sen-ifc-biogas-609428;sen-ifc-cetud-ppp-2025;sen-swedfund-biofuels,"Direct biomethane-plant advisory evidence; approval is for advice, plant investment budget pending."
project,project-sen-project-annex-20,collected,2026-09-13,https://aner.sn/api/projects/by-slug/projet-dhybridation-solaire-de-2000-forages-en-milieu-rural,sen-investment-plan-annexes-mirror;sen-aner-project-20,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred.
project,project-sen-project-annex-21,central_only,2026-09-13,Bounded scout trial: BMN economic-pole searches yielded no project-specific identity beyond broad programmes.,sen-investment-plan-annexes-mirror;sen-bmn-energy-programme;sen-investment-plan-l4-mirror,BMN economic-pole searches yielded no project-specific identity beyond broad programmes. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-22,collected,2026-09-13,https://aner.sn/api/projects/by-slug/utilisation-de-la-refrigeration-solaire-pour-la-conservation-des-produits,sen-investment-plan-annexes-mirror;sen-aner-project-22,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred.
project,project-sen-project-annex-23,collected,2026-09-13,Official ANER /api/documents record5 -> final PSD2025-2029; exact portfolio title pp22/48 and conditional budget; record9 -> narrower rooftop predecessor.,sen-investment-plan-annexes-mirror;sen-aner-project-api;sen-investment-plan-l4-mirror;sen-scout-aner-fiches-ice;sen-aner-psd-2025-2029;sen-aner-document-catalogue;sen-aner-rooftop-preliminary-report,"Direct ANER project identity corroborated by distinctive university/hospital/public-institution solar-autonomy title and FCFA60.4bn conditional budget, consistent with approximate EUR92m plan need. No funding agreement, award or physical milestone. Objective2.1 targets100public sites/60MW are axis-level, not assigned to this project. PSD separately lists the narrower Casamance health programme. Rooftop report remains a possible predecessor, not the full programme."
project,project-sen-project-annex-24,collected,2026-09-13,https://aner.sn/uploads/magazine-aner-transition-s1-2026.pdf,sen-investment-plan-annexes-mirror;sen-aner-magazine-2026,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred.
project,project-sen-project-annex-25,central_only,2026-09-13,Bounded scout trial: CAA065/ANER capacity routes did not establish the exact plan programme.,sen-investment-plan-annexes-mirror;sen-aner-project-api;sen-caa-aner-capacity-065;sen-giz-ped2-2024;sen-investment-plan-l4-mirror,CAA065/ANER capacity routes did not establish the exact plan programme. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits.
project,project-sen-project-annex-26,collected,2026-09-13,https://aner.sn/uploads/magazine-aner-transition-s1-2026.pdf,sen-investment-plan-annexes-mirror;sen-aner-magazine-2026,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred.
project,project-sen-project-annex-27,collected,2026-09-13,https://aner.sn/api/projects/by-slug/energie-solaire-autonomisation-femmes-rurales-esaref,sen-investment-plan-annexes-mirror;sen-aner-project-27,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred.
project,project-sen-project-annex-28,central_only,2026-09-13,"Bounded scout trial: CESAG exact-title footnote adds secondary geography/duration leads, no direct operator record.",sen-investment-plan-annexes-mirror;sen-aner-project-api;sen-aner-magazine-2026;sen-aner-gandiaye-tender-2020;sen-investment-plan-l4-mirror;sen-scout-cesag-aner-thesis,"CESAG exact-title footnote adds secondary geography/duration leads, no direct operator record. See docs/jetp-senegal-scout-trial-2026-09-13.md for adjudication and scope limits."
project,project-sen-project-annex-29,collected,2026-09-13,https://aner.sn/api/projects/by-slug/projet-diffusion-pompes-solaires-usages-productifs,sen-investment-plan-annexes-mirror;sen-aner-project-29,Direct project identity corroborated; no undisclosed financing or whole-project completion inferred. API status ongoing is unspecific; installation targets are not delivered-pump counts.
