line_id,observation_id,country,ratified,operation,funder,instrument,amount_original,currency_original,event_date,legacy_status,source_filename,locator,confidence,notes,verification_verdict,verification_note,matched_snippet,project_count,portfolio_role
vnm-pilot-observations-local-record-row-11,vnm-pilot-observation-011,VNM,,Enveloppe JETP — chiffre de presse post-retrait américain,IPG,non précisé,15000000000,USD,2025-03,annoncé,ccnews-us-withdraws-2025-03.html,"4e paragraphe de l'article : « Indonesia negotiated a JETP deal with a $20-billion commitment from the IPG, including $10 billion from commercial investors, followed by Vietnam with $15 billion »",low,Source journalistique tierce ; arrondi à 15 Md. À ne pas retenir comme valeur de référence ; conservé pour tracer la circulation des chiffres.,verified,"Montant 15 milliards USD trouvé tel quel dans le 4e paragraphe de l'article, chiffre de presse post-retrait américain pour le Vietnam.",followed by Vietnam with $15 billion,,
vnm-pilot-observations-local-record-row-12,vnm-pilot-observation-012,VNM,,Contribution bilatérale française au JETP,France (AFD),prêts concessionnels,500000000,EUR,2025-05-26,annoncé,evn-evnnpt-afd-67m-2025-05.html,"Article « EVNNPT and AFD sign €67 million financing agreement », paragraphe : « France has pledged to mobilize up to €500 million in concessional loans to support Vietnam's energy transition between 2023 and 2027 »",high,"Enveloppe pays, période 2023-2027. Ne pas additionner avec les lignes projet AFD (67 M€, 76 M€) qui en sont probablement des tirages.",verified,Montant et contexte confirmés.,France has pledged to mobilize up to €500 million in concessional loans to support Vietnam's energy transition between 2023 and 2027,,
vnm-pilot-observations-local-record-row-13,vnm-pilot-observation-013,VNM,,Prêt-cadre EIB / Ministère des Finances pour la mise en oeuvre du JETP,Banque européenne d'investissement (EIB Global),prêt-cadre (framework loan),500000000,EUR,2025-03-12,annoncé,eib-jetp-mou-500m-2025-03.html,Section « Strengthening Viet Nam's green transition through strategic investment » : « the EIB is committed to establishing a €500 million framework loan with the Ministry of Finance to support JETP implementation »,high,"« committed to establishing » = intention, pas de signature. Toujours qualifié de « planned » un an plus tard (eib-techcombank-200m-2026.html, encadré Background : « the planned €500 million framework loan with the Ministry of Finance »). Non signé au 24/03/2026.",verified,Montant et contexte confirmés.,the EIB is committed to establishing a €500 million framework loan with the Ministry of Finance to support JETP implementation,,
vnm-pilot-observations-local-record-row-14,vnm-pilot-observation-014,VNM,,Contribution agrégée Team Europe au JETP,UE + EIB + États membres,non ventilé,2800000000,EUR,2025-10-09,annoncé,eib-bac-ai-430m-2025-10.html,"Section « EU-Vietnam partnership » : « the EU, EIB, and the Member States, contribute over €2.8 billion to the JETP »",medium,"Agrégat sans ventilation ni date de référence ; « over ». Impossible de rapprocher des lignes projet. Recoupement à faire avec les 8,08 Md USD IPG.",verified,Montant et contexte confirmés.,"the EU, EIB, and the Member States, contribute over €2.8 billion to the JETP",,
vnm-pilot-observations-local-record-row-15,vnm-pilot-observation-015,VNM,,Enveloppe UE Global Gateway Viet Nam 2021-2027,Union européenne (Commission),non précisé,293000000,EUR,2025-10-09,annoncé,eib-bac-ai-430m-2025-10.html,Section « EU-Vietnam partnership » : « The EU's financial commitment for 2021-2027 is at least €293 million »,medium,"Enveloppe pays Global Gateway, pas JETP stricto sensu — le document la cite dans le même paragraphe que le JETP. Périmètre à trancher.",verified,Montant et contexte confirmés.,The EU's financial commitment for 2021-2027 is at least €293 million,,
vnm-pilot-observations-local-record-row-16,vnm-pilot-observation-016,VNM,,Ligne 500 kV Ho Chi Minh-Ville (ex-Binh Duong) / Dong Nai,AFD,prêt (credit facility agreement),67000000,EUR,2025-05-26,signé,evn-evnnpt-afd-67m-2025-05.html,"Titre et 1er paragraphe : « On May 26 in Hanoi, EVNNPT and AFD signed a financing agreement worth €67 million ». Signataires nommés au 4e paragraphe (Rémy Rioux / Pham Le Phu)",high,Emprunteur EVNNPT. Confirmé par uk-eu-jetp-progress-2025-05.html (« On 26 May 2025 ») et moit-jetp-projects-2025-07.html (« Thỏa thuận tín dụng trị giá 67 triệu Euro »). Premier des 3 projets JETP bouclés.,verified,Montant et contexte confirmés.,EVNNPT and AFD sign €67 million financing agreement ... signed a financing agreement worth €67 million to support the expansion and modernization of Vietnam's power transmission,,
vnm-pilot-observations-local-record-row-17,vnm-pilot-observation-017,VNM,,Ligne 500 kV HCMV - Binh Duong — valorisation MOIT en USD,AFD,prêt,78000000,USD,2026-07-09,signé,moit-decision-1929-implementation-2026-07.html,"Section « Hoàn thiện chính sách phát triển năng lượng », paragraphe : « Dự án đường dây truyền tải điện Thành phố Hồ Chí Minh - Bình Dương (78 triệu USD) »",medium,"DOUBLON DE LA MÊME OPÉRATION en USD. 78 M USD / 67 M EUR implique un taux de 1,164, incohérent avec les autres conversions du même paragraphe (Bac Ai 565/480 = 1,177). Ne pas additionner avec la ligne en EUR.",verified,Amount 78 million USD matches text exactly.,Dự án đường dây truyền tải điện Thành phố Hồ Chí Minh - Bình Dương (78 triệu USD),,
vnm-pilot-observations-local-record-row-18,vnm-pilot-observation-018,VNM,,Extension de la centrale hydroélectrique de Tri An (+200 MW),KfW,prêt sans garantie souveraine,65000000,EUR,2025-06-24,signé,evn-kfw-trian-65m-2024-06.html,"Titre et 1er paragraphe : « On June 24, 2025, in Frankfurt, EVN signed a €65 million loan agreement with KfW for the Tri An Hydropower Plant Expansion Project. This marks the first project financed by KfW for EVN through a direct loan without a Government guarantee »",high,CONFLIT DE DATE : eeas-jetp-progress-2025-07.html dit « signed on June 26 ». Le nom de fichier (2024-06) est erroné : le document est daté de juin 2025. Instrument notable : premier prêt KfW à EVN sans garantie de l'État.,verified,"Amount €65 million matches text exactly; date June 24, 2025 also matches (row date field 2025-06-24, filename says 2024-06 but content is 2025).","On June 24, 2025, in Frankfurt (Federal Republic of Germany), Vietnam Electricity (EVN) signed a €65 million loan agreement with the German Development Bank (KfW) for the Tri An Hydropower Plant Expansion Project.",,
vnm-pilot-observations-local-record-row-19,vnm-pilot-observation-019,VNM,,Extension de Tri An — valorisation MOIT en USD,KfW,prêt,79000000,USD,2026-07-09,signé,moit-decision-1929-implementation-2026-07.html,Même paragraphe : « dự án mở rộng Nhà máy Thuỷ điện Trị An (79 triệu USD) »,medium,"DOUBLON de la ligne 65 M EUR. Taux implicite 1,215, différent des deux autres conversions du même paragraphe.",verified,Amount 79 million USD matches text exactly.,dự án mở rộng Nhà máy Thuỷ điện Trị An (79 triệu USD),,
vnm-pilot-observations-local-record-row-20,vnm-pilot-observation-020,VNM,,STEP de Bac Ai (1 200 MW) — facilité de crédit consortiale,"AFD (chef de file), EIB, JICA, KfW, CDP, Proparco",prêt long terme (MoU / term sheet),480000000,EUR,2025-05-27,"annoncé (MoU, non signé)",uk-eu-jetp-progress-2025-05.html,"Corps du communiqué : « On 27 May 2025, a Memorandum of Understanding (MoU) was signed between EVN and AFD as coordinator of six IPG Development Finance Institutions (AFD, EIB, JICA, KfW, CDP, and Proparco) to provide up to €480 million »",high,"« up to » = plafond. Qualifié de MoU ici, de « agreement on the terms and conditions for a credit facility » par eeas-jetp-progress-2025-07.html, et de « Thỏa thuận tín dụng » (accord de crédit) par moit-jetp-projects-2025-07.html — trois qualifications juridiques différentes du même acte. Un term sheet distinct avait été signé le 12/05/2025 (evn-cdp-bacai-loi.html).",verified,"Montant 480 millions EUR trouvé tel quel, correspond à la facilité de crédit EVN/AFD décrite.","a Memorandum of Understanding (MoU) was signed between EVN and AFD as coordinator of six IPG Development Finance Institutions (AFD, EIB, JICA, KfW, CDP, and Proparco) to provide up to €480 million",,
vnm-pilot-observations-local-record-row-21,vnm-pilot-observation-021,VNM,,STEP de Bac Ai — assistance technique UE,Union européenne (gérée par l'AFD),don (assistance technique),10000000,EUR,2025-05-27,annoncé,uk-eu-jetp-progress-2025-05.html,"Même paragraphe : « The project also benefits from €10 million of technical assistance, funded by the EU and managed by AFD »",high,Confirmé par eeas-jetp-progress-2025-07.html et moit-jetp-projects-2025-07.html (« 10 triệu Euro hỗ trợ kỹ thuật từ EU »).,verified,"Montant 10 millions EUR trouvé tel quel, assistance technique UE/AFD.","The project also benefits from €10 million of technical assistance, funded by the EU and managed by AFD",,
vnm-pilot-observations-local-record-row-22,vnm-pilot-observation-022,VNM,,STEP de Bac Ai — paquet Team Europe annoncé au Global Gateway Forum,"UE, AFD, EIB, KfW, CDP, Proparco",paquet mixte non ventilé,430000000,EUR,2025-10-09,annoncé,eib-bac-ai-430m-2025-10.html,Chapeau du communiqué : « the European Commission and other Team Europe actors announced a comprehensive €430 million package to advance the Bac Ai Pumped Hydro Storage Project »,high,"CONFLIT MAJEUR : 430 M€ ici contre 480 M€ (+10 M€ AT) en mai/juillet 2025 pour le même projet. Différence possible de périmètre : la JICA, membre du consortium des six, n'est pas un acteur Team Europe et est absente de la liste ici. 480 - 430 = 50 M€ ; hypothèse non vérifiable dans les documents locaux.",verified,Montant et contexte confirmés (titre et chapeau du communiqué).,the European Commission and other Team Europe actors announced a comprehensive €430 million package to advance the Bac Ai Pumped Hydro Storage Project,,
vnm-pilot-observations-local-record-row-23,vnm-pilot-observation-023,VNM,,STEP de Bac Ai — premier tirage AFD,AFD,prêt (credit agreement),76000000,EUR,2025-12-27,signé,vnplus-afd-bacai-76m-2025-12.html,"Titre « AFD provides 76-million-EUR loan » et 1er paragraphe : « EVN has announced that it signed a credit agreement with AFD for a loan worth 76 million EUR (89.47 million USD) ». Rang précisé au paragraphe suivant : « This is the first of six loans, totaling nearly 480 million EUR »",medium,"CONTRADICTION INTERNE AU DOCUMENT : le titre et le 1er paragraphe disent 76 M EUR (89,47 M USD), mais le paragraphe citant M. Nguyen Xuan Nam dit « the 76 million USD loan from AFD ». Confiance abaissée pour cette raison. Le fichier HTML est stocké gzippé : décompresser (zcat) avant lecture. Premier de six tirages du consortium.",verified,76 M EUR confirmé au titre et 1er paragraphe. Note: le document contient bien la contradiction interne signalée (un passage citant M. Nguyen Xuan Nam dit '76 million USD loan') mais le montant enregistré (76M EUR) correspond au titre/1er paragraphe.,signed a credit agreement with the French Development Agency (AFD) for a loan worth 76 million EUR (89.47 million USD) to implement the Bac Ai pumped-storage hydropower plant,,
vnm-pilot-observations-local-record-row-24,vnm-pilot-observation-024,VNM,,STEP de Bac Ai — coût total du projet,"n/a (coût projet, tous financements confondus)",n/a — investissement total,21100000000000,VND,2025-12-27,approuvé,vnplus-afd-bacai-76m-2025-12.html,"Chapeau sous le titre : « The Bac Ai hydropower project has a designed capacity of 1,200 MW, comprising four turbines of 300 MW each, with a total investment of 21.1 trillion VND (802.5 million USD) »",high,"Ligne de contexte, PAS un engagement de financeur. Sert de dénominateur : 480 M EUR de dette externe sur ~802,5 M USD de coût total. Taux implicite VND/USD = 26 293.",verified,Trouvé mot pour mot dans le chapeau JSON-LD et le corps de l'article.,total investment of 21.1 trillion VND (802.5 million USD),,
vnm-pilot-observations-local-record-row-25,vnm-pilot-observation-025,VNM,,STEP de Bac Ai — montant mobilisé déclaré par le MOIT,consortium des six IFD,prêt,565000000,USD,2026-07-09,engagé,moit-decision-1929-implementation-2026-07.html,Section « Hoàn thiện chính sách phát triển năng lượng » : « Dự án Thuỷ điện tích năng Bắc Ái (565 triệu USD) »,medium,"565 M USD ≈ 480 M EUR au taux 1,177. DOUBLON de la ligne en EUR. Écart possible avec le paquet de 430 M€ de l'EIB.",verified,Amount 565 million USD matches text exactly.,Dự án Thuỷ điện tích năng Bắc Ái (565 triệu USD),,
vnm-pilot-observations-local-record-row-26,vnm-pilot-observation-026,VNM,,STEP de Bac Ai — lettre d'intention CDP,Cassa Depositi e Prestiti (Italie),lettre d'intention (LOI),non chiffré dans le document,n/a,2025-09-04,annoncé,evn-cdp-bacai-loi.html,"1er paragraphe : « On the morning of September 4, 2025, within the framework of the Vietnam-Italy Business Forum held in Hanoi, EVN and Italy's CDP exchanged a Letter of Intent on cooperation for the Bac Ai Pumped-Storage Hydropower Plant Project »",high,Aucun montant publié pour la quote-part CDP. Ligne conservée pour tracer l'acte juridique. Le même document date le term sheet des six IFD au 12/05/2025 — antérieur au MoU du 27/05/2025 rapporté par UK/UE.,verified,"Aucun montant à vérifier (amount='non chiffré dans le document'), conforme à l'attendu; date 04/09/2025 confirmée ('On the morning of September 4, 2025'); mention du term sheet du 12/05/2025 également retrouvée.",EVN and Italy's CDP exchanged a Letter of Intent on cooperation for the Bac Ai Pumped-Storage Hydropower Plant Project,,
vnm-pilot-observations-local-record-row-27,vnm-pilot-observation-027,VNM,,Contribution combinée France+IPG aux deux projets phares,AFD + consortium IPG,prêts,547000000,EUR,2025-05-29,annoncé,uk-eu-jetp-progress-2025-05.html,Paragraphe suivant les deux annonces projet : « France's and IPG's €547 million financial contribution to these two flagship energy transition projects »,high,AGRÉGAT = 67 + 480. Exclut les 10 M€ d'AT. Ne pas additionner avec les lignes projet (double comptage).,verified,"Montant 547 millions EUR trouvé tel quel, contribution combinée France+IPG.",France's and IPG's €547 million financial contribution to these two flagship energy transition projects,,
vnm-pilot-observations-local-record-row-28,vnm-pilot-observation-028,VNM,,Ligne de crédit climat EIB Global / Techcombank,Banque européenne d'investissement (EIB Global),prêt-cadre / ligne de crédit à une banque commerciale,200000000,EUR,2026-03-24,annoncé,eib-techcombank-200m-2026.html,Premier bullet du chapeau : « The €200 million financing agreement between EIB Global and Techcombank was announced during the EU-Vietnam Global Gateway Business and Investment Forum in Hanoi ». Fiche projet en bas de page : « VIET NAM JETP CLIMATE ACTION FL I »,high,"Rattachement JETP explicite via l'intitulé de l'opération EIB « VIET NAM JETP CLIMATE ACTION FL I ». Accompagné d'un volet conseil (GFS) financé par l'Allemagne et le Luxembourg, non chiffré.",verified,Montant 200M EUR confirmé au titre et au chapeau; rattachement JETP confirmé via le nom du projet lié 'VIET NAM JETP CLIMATE ACTION FL I'.,EIB Global and Techcombank announce €200 million credit line for climate investments in Viet Nam / VIET NAM JETP CLIMATE ACTION FL I,,
vnm-pilot-observations-local-record-row-29,vnm-pilot-observation-029,VNM,,Encours EIB cumulé au Viet Nam depuis 1997,Banque européenne d'investissement,cumul tous instruments,561000000,EUR,2025-03-12,décaissé/engagé (cumul historique),eib-jetp-mou-500m-2025-03.html,"Section « Strengthening Viet Nam's green transition through strategic investment », 1re phrase : « EIB Global has been a trusted partner of Viet Nam since 1997, providing over €561 million in financing »",high,"Cumul historique, très majoritairement antérieur au JETP. Ligne de contexte. Voir la ligne suivante pour la valeur de mars 2026.",verified,Montant et contexte confirmés.,"EIB Global has been a trusted partner of Viet Nam since 1997, providing over €561 million in financing",,
vnm-pilot-observations-local-record-row-30,vnm-pilot-observation-030,VNM,,Encours EIB cumulé au Viet Nam depuis 1997 (mise à jour),Banque européenne d'investissement,cumul tous instruments,800000000,EUR,2026-03-24,décaissé/engagé (cumul historique),eib-techcombank-200m-2026.html,"Encadré « Background information », rubrique EIB : « active in Viet Nam since 1997, providing about €800 million to support sustainable infrastructure, renewable energy, climate action and urban transport »",high,"Pas un conflit avec la ligne précédente mais une progression en 12 mois (+239 M€), dont probablement les 200 M€ Techcombank. « about » — arrondi.",verified,Trouvé mot pour mot dans l'encadré 'Background information'.,"The European Investment Bank (EIB) has been active in Viet Nam since 1997, providing about €800 million to support sustainable infrastructure, renewable energy, climate action and urban transport",,
vnm-pilot-observations-local-record-row-31,vnm-pilot-observation-031,VNM,,Accords ODA/dons KfW-EVN cumulés depuis 2009,KfW,prêts ODA et dons (9 accords),891500000,EUR,2025-06-24,signé (6 des 9 entièrement décaissés),evn-kfw-trian-65m-2024-06.html,"Avant-dernier paragraphe : « Since 2009, KfW has signed nine ODA and grant loan agreements with EVN, totaling €891.5 million, six of which have been completed with full disbursement of KfW funds »",high,"Cumul historique, majoritairement pré-JETP. Ligne de contexte, à ne pas imputer au JETP.",verified,Amount €891.5 million matches text exactly.,"Since 2009, KfW has signed nine ODA and grant loan agreements with EVN, totaling €891.5 million, six of which have been completed with full disbursement of KfW funds.",,
vnm-pilot-observations-local-record-row-32,vnm-pilot-observation-032,VNM,,Engagement KfW pour projets EVN à venir,KfW,"ODA, prêts concessionnels et prêts sans garantie souveraine",800000000,EUR,2025-06-24,annoncé,evn-kfw-trian-65m-2024-06.html,"Dernier paragraphe : « For upcoming projects, KfW has committed approximately €800 million in ODA, concessional loans, and non-guaranteed loans to support new initiatives by EVN and its subsidiary corporations »",medium,"« approximately » ; pas de rattachement JETP explicite dans la phrase, mais l'article entier porte sur un projet JETP. Périmètre à trancher.",verified,Amount €800 million matches text ('approximately €800 million').,"For upcoming projects, KfW has committed approximately €800 million in ODA, concessional loans, and non-guaranteed loans to support new initiatives by EVN and its subsidiary corporations.",,
vnm-pilot-observations-local-record-row-33,vnm-pilot-observation-033,VNM,,Facilité GET FiT Viet Nam (primes aux producteurs ENR),KfW pour le compte du BMZ (Allemagne),don / prêt sur fonds budgétaires (« Zuschuss / Darlehen aus Haushaltsmitteln »),14500000,EUR,non daté dans le document,actif,kfw-getfit-vietnam-14.5m.html,"Tableau de la fiche projet, lignes « Deutscher Finanzierungsbeitrag : 14,5 Mio. EUR », « Status : aktiv », « Nummer : 32519 », « Projektpartner : ELECTRICITY OF VIETNAM »",medium,"Fiche de base de données sans date. Le texte se réfère au PDP VII révisé de 2016 : opération antérieure au JETP, jamais qualifiée de JETP dans le document. À classer hors périmètre JETP sauf décision contraire.",verified,"Tableau fiche projet KfW: 'Deutscher Finanzierungsbeitrag 14,5 Mio. EUR', Status aktiv, Nummer 32519, Projektpartner ELECTRICITY OF VIETNAM — tout correspond.","Deutscher Finanzierungsbeitrag 14,5 Mio. EUR Status aktiv Auftraggeber BMZ Projektpartner ELECTRICITY OF VIETNAM ... Nummer 32519",,
vnm-pilot-observations-local-record-row-34,vnm-pilot-observation-034,VNM,,Pipeline JETP — 7 premiers projets identifiés,IPG (à mobiliser),"besoin de financement, non engagé",1500000000,USD,2025-07-08,identifié (besoin),vneconomy-24-projects-2025-07.html,"Ligne 31 du texte extrait : « phía IPG đưa ra 7 dự án đầu tiên đã được xác định có thể triển khai trong khuôn khổ JETP với tổng nguồn vốn cần huy động là hơn 1,5 tỷ USD »",medium,"« hơn » = plus de. BESOIN de financement, pas un engagement. 3 des 7 bouclés à cette date, 4 en cours.",verified,"Montant 1,5 milliard USD trouvé exactement au passage cité.","tổng nguồn vốn cần huy động là hơn 1,5 tỷ USD",7,initial_projects
vnm-pilot-observations-local-record-row-35,vnm-pilot-observation-035,VNM,,Pipeline JETP — 17 projets retenus au criblage 2025,IPG / GFANZ (à mobiliser),"besoin de financement, non engagé",5520000000,USD,2025-07-08,identifié (besoin),moit-jetp-projects-2025-07.html,"Dernier paragraphe de fond : « Đối với 25 dự án đề xuất mới nhận được, có 17 dự án được sơ bộ xác định phù hợp 4 nguyên tắc JETP với nguồn vốn cần huy động khoảng 5,52 tỷ USD »",high,"Ventilation dans vneconomy-24-projects-2025-07.html (ligne 41) : 10 projets d'investissement pour près de 5,5 Md USD + 7 projets d'AT pour 16,79 M USD. Écart de comptage : le MOIT et l'EEAS disent 25 nouvelles propositions ; vneconomy les ventile en 17 investissement + 8 AT.",verified,"Montant 5,52 milliards USD trouvé exactement au passage cité (17 projets).","17 dự án được sơ bộ xác định phù hợp 4 nguyên tắc JETP với nguồn vốn cần huy động khoảng 5,52 tỷ USD",17,new_proposals_screened
vnm-pilot-observations-local-record-row-36,vnm-pilot-observation-036,VNM,,Pipeline JETP — portefeuille total à juillet 2025,IPG / GFANZ (à mobiliser),"besoin de financement, non engagé",7040000000,USD,2025-07-08,identifié (besoin),moit-jetp-projects-2025-07.html,"Dernier paragraphe de fond : « Tổng số dự án phù hợp JETP đã được xác định đến thời điểm hiện nay là 24 dự án, với tổng nguồn vốn cần huy động là 7,04 tỷ USD »",high,"Confirmé par eeas-jetp-progress-2025-07.html (« 24 projects with total investment needs of USD7.04 billion ») et vneconomy (« hơn 7 tỷ USD »). 7,04 ≠ 1,5 + 5,52 = 7,02 : écart d'arrondi de 20 M USD.",verified,"Montant 7,04 milliards USD trouvé exactement au passage cité (24 projets, portefeuille total).","đã được xác định đến thời điểm hiện nay là 24 dự án, với tổng nguồn vốn cần huy động là 7,04 tỷ USD",24,total_portfolio
