evidence_id,claim,issuer,url,title_date,page_section,paraphrase,contrary_evidence,archive_path,sha256,limitations
GB-GOV-1-400032,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-GOV-1-400032,GB-GOV-1-400032; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-1-400032.json,abe8462726c38c3b2b967ed9adf7e9010bf59a03b79e6600785b9cce1cb5198d,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-GOV-1-400142,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-GOV-1-400142,GB-GOV-1-400142; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-1-400142.json,05d690be9f2de535647c888f53c11333c93b6c8a551e290f1dcb7ee1a1054c2b,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-GOV-1-400343,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-GOV-1-400343,GB-GOV-1-400343; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-1-400343.json,ec8635533f6da2e0365c8d647235834f7432f869048f7cd63a7a789f08ca8bb8,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-GOV-1-400397,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-GOV-1-400397,GB-GOV-1-400397; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0735-round3/us-uk/fcdo-400397.json,5efdb774cdf59d5e3404536a1e732ad08a3faef4a1f21b43774b3466321d3d40,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-GOV-1-400542,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-GOV-1-400542,GB-GOV-1-400542; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-1-400542.json,8df32258b7f081b3abef5f97c4e4392207138ba16fccb0c66ad26cb5d55297cf,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-GOV-1-400717,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-GOV-1-400717,GB-GOV-1-400717; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-1-400717.json,8396247c5fe9ea8a1cd4526b83ecb2307f898ec374095bcda1d6c11de429aace,source-reported dates; no legal financing identity or complete earlier payment coverage
GB-GOV-3-Chevening Scholarships-MA,"structured activity dates, relations and documentary pointers",FCDO,https://fcdo.iati.cloud/search/activity/?fl=*&format=json&q=iati_identifier:GB-GOV-3-Chevening Scholarships-MA,GB-GOV-3-Chevening Scholarships-MA; acquired 2026-09-14,response.docs[0].json.*,"Activity dates retain their type; document links are pointers, not validated documents",current status and old events do not establish historical membership,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-3-Chevening_Scholarships-MA.json,1054f322c966736fc02d78edd586deee4f6fc03bef18790d6c7cd5bf54aa3c91,source-reported dates; no legal financing identity or complete earlier payment coverage
doc-3716713,Retrospective review reports programme start 05 July 2007; structured ID GB-1-107859 links this original,FCDO / legacy DFID,https://iati.fcdo.gov.uk/iati_documents/3716713.odt,National AIDS Control Programme Phase III completion review; March 2012; linked publication 2014-04-06,"content.xml paragraph 4, opening header; paragraphs 289 and 338 procurement discussion",Retrospective review reports programme start 05 July 2007; structured ID GB-1-107859 links this original,Tender/contract discussion does not provide exact award date or operation contract ID,data/jetp/audit-evidence/0739-pilot/3716713.odt,b17b81a35f04b261fbbe7734a8f2253f77e81dcbe4212aa5053619ef42d063e0,Programme activity start only; historical inclusion and pending financing not established
doc-3735372,DFID support GBP102m over 2007–2012; exact programme payload links original,FCDO / legacy DFID,https://iati.fcdo.gov.uk/iati_documents/3735372.odt,Intervention Summary NACP III; linked publication 2014-04-06,content.xml paragraph 6,DFID support GBP102m over 2007–2012; exact programme payload links original,No dated approval or signature instrument,data/jetp/audit-evidence/0739-pilot/3735372.odt,ecf8c2b4ab257c6f3429c3d1ef95f1795cb861c22cf6e3112157348aea8a644c,Financial aid and TC components are distinct; no loan classification from commitment text
guidance,Guidance describes monthly publication with one-month arrears and exceptional security/commercial exclusions or partial redactions,FCDO / legacy DFID,https://devtracker.fcdo.gov.uk/docs/Guidance-and-FAQ-on-FCDO-Data.docx,Guidance and FAQ on FCDO Data; acquired 2026-09-14,"word/document.xml Q on publication frequency, information currentness and missing information",Guidance describes monthly publication with one-month arrears and exceptional security/commercial exclusions or partial redactions,Not a cancellation retention policy or historical snapshot series,data/jetp/audit-evidence/0735-round3/us-uk/fcdo-guidance.docx,ba441973fa3b0038ae640def61a5734ec8194143d4b2ba78d066d2d03a2fd338,"Cannot establish earlier catalogue membership, nonpayment or loss mechanism"
devtracker-about,About page explains current monthly updates and links data access,FCDO / legacy DFID,https://devtracker.fcdo.gov.uk/about,About DevTracker; retrieved 2026-09-14,FCDO data update and sensitive information sections,About page explains current monthly updates and links data access,Update policy is not observed historical snapshots,data/jetp/audit-evidence/0739-pilot/devtracker-about.html,c4ee3de6fb2c45dba2720509437f56575ea01b735a1ad89a5a115079b5da5067,Publisher snapshot route returned 403; archival access remains unresolved
iati-status,Code 1 denotes activity being scoped or planned,IATI,https://iatistandard.org/en/iati-standard/203/codelists/activitystatus/,IATI 2.03 ActivityStatus; retrieved 2026-09-14,code 1 Pipeline/identification,Code 1 denotes activity being scoped or planned,"Does not assert legal approval, signature or absence of preparation spending",data/jetp/audit-evidence/0739-pilot/iati-status.html,ee007397606ef4598be6a5fa08d19afe1e570b1ac4225037e056a8875e03655a,No approved-but-unsigned population can be inferred
